@relation 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute TRINARYp numeric
@attribute VCG_CLAUSE_entropy numeric
@attribute cl_num_min numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
0.6594,1.0763,1239,spear-hw
0.9678,0.1424,3870,gnoveltyp2
0.92,0.2994,2948,sparrow
0.9877,0.0895,0,qutersat
0.9691,0.9084,0,clasp1
0.1035,0.3326,3428,mphaseSAT64
0.5562,0.8813,184,ebminisat
0.9214,0.8609,1487,picosat
0,0,4234,mphaseSATm
0,0,3514,sattimep
0.1266,0.3798,2017,mphaseSAT64
0.9655,0.1559,5,tnm
0.7659,1.0494,250,mphaseSAT64
0.3812,2.0685,890,qutersat
0.892,1.0132,123,ebglucose
0.8333,0.4506,4435,gnoveltyp2
0,0,4395,eagleup
1,0,4247,mphaseSAT64
0.4731,0.8682,3109,mxc09
0.9436,0.5417,1805,tnm
0.9733,0.1252,3641,sparrow
0.9046,0.9833,577,precosat
0.5407,0.9018,141,cryptominisat2011
0.938,0.2474,83,satime11
0.9787,0.1502,4,sol
0,0,4439,marchrw
0.9644,0.1581,12,sparrow
0.8875,1.0074,26,lingeling
0.8844,0.3581,4832,gnoveltyp2
0.9284,0.2807,751,sattime
0.9129,0.6874,67,lrglshr
0,0.8437,635,precosat
0.1821,0.5907,0,glucose2
0.9565,0.179,3775,eagleup
0.0319,0.6857,3425,spear-sw
0.9642,0.187,86,clasp2
0.9446,0.2296,64,satime11
0.9769,0.1332,503,satime11
0.9849,0.0784,3768,mphaseSAT64
0.8023,1.1403,955,tnm
0.9569,0.2867,27,spear-sw
0.8648,0.3961,4557,marchrw
0.9559,0.7001,401,cryptominisat2011
0.9645,0.1586,3839,marchrw
0,0,39,sattime
0.9007,0.9806,1333,glueminisat
0.944,0.2317,74,sattimep
0.9407,0.74,0,clasp2
?,?,?,ebglucose
0.9304,0.2764,1096,clasp1
0.6033,1.3288,999,glucose2
0.7375,1.0784,41,ebglucose
0.9815,0.0921,0,restartsat
0.5428,0.9027,85,mphaseSAT
0,0,4240,eagleup
0.6957,1.0556,32,lrglshr
0.9664,0.1505,8,sparrow
0,0,4428,gnoveltyp2
0.8122,1.1172,472,mphaseSAT64
0,0,4326,tnm
0.0286,0.676,0,picosat
0,0,4392,eagleup
0.8333,0.4506,4475,sattimep
0.4222,1.5155,1888,clasp1
0.9653,0.1577,3,sparrow
0.9685,0.1399,2482,satime11
0.7422,1.0765,41,ebglucose
0.4074,1.7352,1765,clasp2
0.4807,1.6396,50,picosat
0,0,4429,marchrw
0.9627,0.1665,8,sparrow
0.9893,0.0719,102,tnm
0.8333,0.4506,3919,sattime
1,0,4208,picosat
0.5003,1.6791,275,glueminisat
0.7275,1.0416,544,lrglshr
0.8122,1.1172,703,mphaseSAT64
0.9642,0.2774,0,mphaseSAT64
0.005,1.54,535,clasp2
0.8334,1.1278,16,mphaseSAT
1,0,4535,mphaseSAT64
0,0,4403,mphaseSATm
0,0,4300,gnoveltyp2
0.0909,2.0261,785,ebminisat
0.9293,0.3102,3945,sparrow
0,0,4498,gnoveltyp2
0,0,33,eagleup
0.7427,1.518,3313,clasp1
0.9747,0.1547,84,sol
0.4222,1.5261,3770,clasp2
0,0,4320,eagleup
1,0,427,sparrow
0.0933,2.148,762,clasp2
0.9341,0.5803,717,tnm
0.9256,0.2874,201,marchrw
0.094,2.1322,749,ebminisat
0.9482,0.3482,0,picosat
0.8694,1.093,0,lingeling
0.9599,0.1717,3966,marchrw
0.9916,0.5399,382,mphaseSAT64
?,?,?,picosat
0.8478,0.4265,0,ebminisat
0,0,45,sparrow
?,?,?,picosat
0.9531,0.1893,3710,marchrw
0.872,1.0227,274,minisatpsm
0.9656,0.1555,3,sparrow
0.9826,0.0877,0,eagleup
0.905,0.3513,563,tnm
0.0952,2.039,691,qutersat
0.0881,2.1405,1337,clasp1
0.7833,1.27,0,restartsat
0.6952,1.5217,843,glueminisat
?,?,?,mxc09
0.8684,1.092,0,qutersat
0.9617,0.1683,6,sparrow
0,0.8401,495,precosat
0,0,30,tnm
0.1232,2.6087,270,glueminisat
0.5778,1.6868,841,glueminisat
1,0,4061,picosat
0.9993,0.6746,1631,clasp1
0,0,3929,satime11
0.9982,0.1158,2460,precosat
0.5407,0.9018,135,cryptominisat2011
0.9651,0.1543,3787,eagleup
0.8564,0.5787,3117,clasp2
0.9617,0.1662,14,allfair
0.9645,0.1608,4,eagleup
0.0048,1.8677,271,clasp2
0,0,27,tnm
0.6037,1.8884,1760,minisatpsm
0,0,4469,marchrw
0.9691,0.1454,3707,satime11
0.1396,0.7151,397,precosat
0.9431,0.2185,3818,sparrow
0.7837,1.2359,0,mphaseSAT64
0.9384,0.5629,3922,marchrw
0.9082,0.7299,856,allfair
0.2806,0.7664,3933,marchrw
0.932,0.8152,0,picosat
0.2054,0.6185,641,ebminisat
0.9834,0.1076,3,allfair
0,0,4324,marchrw
0.6213,1.6593,77,glueminisat
0.9835,0.0842,0,picosat
0.7025,1.567,548,restartsat
0.9094,0.7485,0,glueminisat
0.9745,0.1318,3815,marchrw
0.483,1.7163,118,lrglshr
0.7926,1.2049,0,ebminisat
0.2032,0.619,808,clasp2
0,0,4491,marchrw
0.928,0.6672,3,lrglshr
0.7657,0.6022,2753,mphaseSAT64
0,0,48,sparrow
0.9639,0.1622,1,sparrow
0.9566,0.3747,18,lrglshr
0.9634,0.1647,32,sparrow
0.8412,1.1908,1566,qutersat
0.9649,0.1578,6,eagleup
0.6731,1.0833,610,spear-sw
0,0,3182,satime11
0,0.9205,727,clasp2
0.927,0.321,4262,sapperlot
0.6863,1.0025,0,ebglucose
0.7969,1.4255,0,glucose2
0.9611,0.1727,5,eagleup
0,0,4398,sattimep
0.9665,0.7013,44,qutersat
0.0117,0.0907,118,mphaseSAT64
0.7789,1.4522,0,picosat
0.9485,0.6573,13,sattimep
0,0,4417,marchrw
0,0,3504,tnm
0.9916,0.5399,382,mphaseSAT64
1,0,3844,mxc09
0.9682,0.1493,32,sparrow
0.6334,1.7865,3498,glucose2
0.6876,1.3734,450,clasp2
0.9597,0.1687,3780,marchrw
0.526,1.6595,275,glueminisat
0.1029,2.5765,368,glueminisat
0.0053,1.886,535,clasp2
0.9634,0.1697,3613,tnm
0.2778,0.7632,586,marchrw
0.9993,0.6746,1631,clasp1
0,0,9,sparrow
0,0,3972,tnm
0.9997,0.0518,20,lingeling
0,0,4040,sattime
0.841,1.1497,2629,glueminisat
0.7973,1.1559,983,marchrw
0,0,4508,marchrw
0.8762,0.9063,477,lrglshr
0,0,38,gnoveltyp2
0.4896,1.7227,135,lrglshr
0.9669,0.1501,12,eagleup
0.7276,1.0449,0,ebminisat
0.4497,1.644,147,rcl
0.0029,0.0465,85,mxc09
0.9663,0.1538,5,eagleup
0,0,19,sparrow
0.7474,1.3638,123,picosat
0.8333,0.4506,4916,marchrw
0.4884,1.7139,84,glueminisat
0.5613,1.5641,401,glueminisat
0.8133,1.2677,1038,mphaseSAT
0.9169,0.3096,4572,ebminisat
0.9344,0.2629,173,sparrow
0.8044,1.1605,926,glucose2
0.9997,0.6732,236,tnm
0.5215,1.6674,329,lrglshr
0.9725,0.1592,518,sol
0.8095,1.1301,3333,ebminisat
0.5327,1.675,367,glueminisat
0.8329,1.0117,10,picosat
0.4442,1.6713,35,ebglucose
0.964,0.1586,1,sparrow
0.9769,0.1097,0,ebminisat
0,0,4337,marchrw
0.8086,0.5233,4845,sol
?,?,?,mxc09
0.172,0.594,589,marchrw
0.8333,0.4506,4346,sattimep
0.9616,0.1693,6,sparrow
0.8738,1.0511,3,sapperlot
0.7459,1.4593,0,picosat
0,0,4301,marchrw
0,0,4003,eagleup
0.5286,0.9173,115,lingeling
0,0,4349,marchrw
0.9716,0.515,0,ebglucose
0.8729,0.8979,3364,marchrw
1,0,4022,picosat
0.8613,0.4213,4823,allfair
0.9995,0.6739,962,ebglucose
0.9663,0.152,3788,tnm
0,0,4327,satime11
0.4658,1.652,149,glucose2
0.0025,0.0175,3818,mphaseSATm
0.8951,0.6919,142,allfair
0.4582,1.6408,121,glucose2
0.9217,0.3469,4500,clasp2
0.9758,0.1138,3838,marchrw
0.915,0.9733,8,clasp2
0.9417,0.5463,0,ebglucose
0.3889,1.1922,3964,picosat
0,0,4295,mphaseSAT
0,0,2816,glucose2
0.9996,0.6736,707,mphaseSATm
0.1411,2.613,173,glueminisat
0.6124,1.6227,8,clasp2
0,0,0,eagleup
0.9647,0.1578,35,sparrow
0.9741,0.1202,3798,marchrw
0.4683,1.6342,224,glucose2
0.9417,0.2428,3793,gnoveltyp2
0.9395,0.9784,0,clasp2
0,0,65,eagleup
0.7135,0.8002,722,glucose2
0.6015,1.0681,683,cryptominisat2011
1,0,3847,clasp1
0.9665,0.1501,3927,marchrw
0.5286,0.9173,115,lingeling
0.4697,1.6189,41,glucose2
0.0024,0.0375,102,ebminisat
0.475,1.699,171,lrglshr
0.9819,0.1023,13,allfair
0,0,4466,marchrw
0.9622,0.1639,3862,marchrw
1,0,4307,mphaseSAT64
0.9712,0.1307,3816,marchrw
0.9284,0.281,428,sparrow
0,0.7595,398,qutersat
0.7438,1.4396,66,picosat
0.9231,0.2903,1496,sparrow
0.9871,0.1118,268,tnm
0.8333,0.4506,4481,gnoveltyp2
0.8953,0.3353,4814,ebminisat
0.9725,0.1592,518,sol
0.4652,1.6807,45,picosat
0.932,0.2657,151,sparrow
0.0024,0.0375,102,glueminisat
0.962,0.1677,9,eagleup
0.5104,1.6776,293,lrglshr
0.8542,1.0922,4,lingeling
0.6375,1.8528,2508,clasp1
0.9734,0.1227,3765,satime11
0.9601,0.1676,3845,marchrw
0.1034,2.5667,387,cryptominisat2011
0.9584,0.1791,3707,marchrw
0.5407,0.9021,136,precosat
0.9043,0.7892,0,clasp1
0.0339,1.5069,1416,glueminisat
0,0,0,picosat
0.5389,1.8913,1746,glueminisat
0.5657,1.4537,1065,ebglucose
0.5559,0.881,202,ebglucose
0.9348,0.2623,287,satime11
0.9171,0.9743,34,lingeling
0.5794,1.4774,860,clasp1
0,0,19,sattime
0,0,42,gnoveltyp2
0.9772,0.1121,3929,marchrw
0.5703,1.0929,663,glueminisat
0.7693,1.3612,0,restartsat
0.9633,0.1635,3,eagleup
0.9642,0.1602,1,sparrow
0.7586,1.0642,2154,sol
0.9261,0.2636,4836,sparrow
0,0,4161,satime11
0.7814,1.2868,0,ebminisat
0.972,0.1277,3634,gnoveltyp2
0.9439,0.2291,44,sattime
0.961,0.17,3575,sparrow
0.5486,1.6056,517,glueminisat
0,0,4375,gnoveltyp2
0.75,1.0627,3636,cryptominisat2011
0.8487,0.4379,4718,allfair
0.8703,0.9035,623,tnm
0.9633,0.1574,3895,marchrw
0.0558,1.5123,3036,picosat
0.8059,1.2936,623,cryptominisat2011
0.0968,0.8258,0,ebminisat
0.9793,0.1303,20,sol
0.8155,1.2367,0,glucose2
0.069,0.251,2616,mphaseSAT64
1,0,3951,clasp1
0.6968,1.4953,246,ebminisat
0.5538,1.5412,1173,lingeling
0.9978,0.178,0,qutersat
0.9633,0.1635,8,sparrow
0.7758,1.4866,0,glucose2
0.9232,0.964,13,lingeling
0.4697,1.6385,151,glucose2
0,0,4552,eagleup
1,0,427,sparrow
0.8613,0.4213,4823,allfair
0.9627,0.1643,6,sparrow
0.0059,2.0941,40,clasp2
0.9522,0.2144,3744,sparrow
0,0,32,tnm
0.9737,0.1505,0,sparrow
0.6675,1.3303,437,clasp2
0.8632,0.9212,3722,marchrw
0.9374,0.2502,69,tnm
0.8951,0.6919,142,allfair
0.9218,0.3469,4539,sparrow
0.9689,0.1494,3694,sattime
0.9745,0.1319,849,tnm
0.9396,0.9808,0,glucose2
0.9991,0.0846,1333,precosat
0,0,4272,marchrw
0.9609,0.4712,297,mphaseSAT64
0.834,1.1412,690,qutersat
0.9391,0.2467,112,sattime
0.8333,0.4506,4351,gnoveltyp2
0.5175,1.421,357,glueminisat
0.9792,0.1011,0,ebminisat
0,0,4213,eagleup
0,0,4209,mphaseSATm
0.9758,0.1139,0,precosat
0.9668,0.1529,37,tnm
0,0,4384,eagleup
1,0.0118,4178,clasp1
0.987,0.0929,1,allfair
1,0,0,ebminisat
0.9636,0.1618,5,eagleup
0.9396,0.9808,0,qutersat
0,0,4262,gnoveltyp2
0.4533,1.6046,23,picosat
0.094,2.1322,749,ebminisat
0,0,4412,sparrow
0.9995,0.0672,90,precosat
1,0,4327,mphaseSAT64
0.9798,0.1482,3,allfair
0.4528,1.641,54,glucose2
0.9713,0.1744,110,rcl
0.9606,0.1825,3788,satime11
0.9681,0.1459,5,eagleup
0.2778,0.7632,586,marchrw
0,0,4124,sparrow
0.9405,0.2434,198,satime11
0.8446,1.1418,264,mphaseSAT64
0.4693,1.6207,206,glucose2
0.8549,0.4141,4645,marchrw
0.5418,1.6291,588,glucose2
0,0,46,eagleup
0.5335,0.9206,84,lingeling
0.0306,0.682,3840,picosat
0.6448,1.6131,1234,glueminisat
0.1029,2.5765,368,glueminisat
0.4478,1.6462,119,rcl
0,0,19,gnoveltyp2
0.9742,0.1366,30,sol
0.0724,0.2972,141,cryptominisat2011
0,0,4086,sattime
0.7528,1.3248,1027,glucose2
0.9743,0.1196,3697,sattimep
0.7857,1.2632,17,qutersat
0.9672,0.1489,38,sparrow
0.899,0.3703,488,sparrow
0.9463,0.222,3747,eagleup
?,?,?,mxc09
1,0,3750,clasp1
?,?,?,picosat
0.8149,1.106,3438,glucose2
0.9714,0.1299,3797,gnoveltyp2
0.9406,0.7405,0,mxc09
0.9518,0.6289,5,picosat
0.9406,0.7405,0,clasp2
0,0,2380,glucose2
0.9458,0.214,3854,eagleup
0.6107,1.2654,332,minisatpsm
0.6942,1.6907,0,picosat
0,0,59,sparrow
0,0,2864,precosat
0.5433,1.1992,93,glueminisat
0.1929,0.627,0,glucose2
0.7589,1.2942,1031,glucose2
0.7245,0.8195,1554,ebminisat
0.9439,0.7105,43,sattime
0.9996,0.6734,657,picosat
0,0,4307,marchrw
0.1396,0.7151,397,precosat
0.9807,0.0955,3745,sparrow
0,0,63,gnoveltyp2
0.8874,1.006,62,lingeling
0.841,1.1497,2629,glueminisat
0,0,4142,sattime
0.5075,1.404,211,ebglucose
0.0698,0.7761,4272,ebminisat
0.8333,0.4506,4484,gnoveltyp2
0,0,4332,marchrw
0.9647,0.1596,1,sparrow
0.0896,2.5543,268,glueminisat
1,0,3943,clasp1
0.9668,0.1504,23,eagleup
0.7665,1.0969,284,mphaseSAT64
0.8461,0.4293,4886,marchrw
0.5407,0.9018,135,cryptominisat2011
0,0,4260,sattimep
0.9726,0.1255,3552,sattime
0.0048,1.8677,271,clasp2
0,0,33,sparrow
0,0,4276,gnoveltyp2
0.6965,1.2304,922,glucose2
0.9161,0.6464,145,lrglshr
0,0,4527,marchrw
0.9438,0.2212,4873,allfair
0.9669,0.1515,16,sparrow
0,0,4052,sattime
0.9702,0.1358,3674,eagleup
0.9876,0.0666,3800,marchrw
0,0,4069,sattime
0.9805,0.0961,0,ebminisat
0.8799,0.9207,2013,mphaseSAT
0.8333,0.4506,4432,mphaseSAT64
0.8676,1.0251,223,qutersat
0.8901,0.3463,4792,ebminisat
0,0,3745,eagleup
0.6965,1.2304,922,glueminisat
0.7267,1.5572,331,ebglucose
0.9705,0.1355,3801,marchrw
0.9129,0.6874,67,lrglshr
0.0449,2.2041,0,minisatpsm
0.5157,1.6923,273,qutersat
0.9648,0.1617,3650,satime11
0.0316,1.0461,230,lrglshr
0.0702,0.2926,257,qutersat
0.9649,0.1563,4,eagleup
0.78,1.4605,0,mxc09
0.9618,0.1622,3832,sattime
0,0.8401,495,precosat
0.5335,0.9209,75,precosat
0,0,4222,marchrw
0.7836,1.0009,20,mphaseSAT64
0,0,4411,eagleup
1,0,3881,picosat
0.7386,1.6906,0,glucose2
0.9645,0.1581,2,sparrow
0,0,4213,marchrw
0.8333,0.4506,4581,sattime
0.9669,0.1487,4,eagleup
0.9809,0.2053,396,qutersat
0.9829,0.1235,14,gnoveltyp2
0.8772,0.88,3213,picosat
0,0,4369,gnoveltyp2
0,0,4552,eagleup
0.825,1.0423,2455,sol
0,0,50,satime11
1,0,4388,mphaseSAT64
0.8371,1.1128,0,cryptominisat2011
0.8675,0.9099,3067,marchrw
0.7903,1.0908,2847,glucose2
0.9738,0.1469,217,clasp2
0.9406,0.7405,0,mxc09
0.9322,0.267,146,sattime
0.3276,2.1862,2551,spear-hw
0.9762,0.1441,529,tnm
0,0.7698,582,mxc09
0,0,4123,gnoveltyp2
0,0,2864,precosat
0.9391,0.9906,0,mphaseSAT
0.9714,0.2079,54,sol
0.967,0.1495,3,eagleup
0.965,0.1646,3774,tnm
0.8375,1.1171,585,minisatpsm
0,0,4340,gnoveltyp2
0.0932,2.1194,901,ebminisat
0.9815,0.098,3825,marchrw
0.4533,1.6046,23,restartsat
0.8797,0.9578,688,mphaseSAT64
0.9723,0.1266,3835,marchrw
0.6982,1.4933,0,clasp2
0.9377,0.9574,2,minisatpsm
?,?,?,ebminisat
0,0,4570,eagleup
0.9044,0.3256,3891,allfair
0.8661,1.0934,0,qutersat
0.8779,0.6203,4686,ebminisat
0,0,4289,tnm
0.3889,1.1922,3964,picosat
0.1657,1.4723,1812,ebglucose
0.7192,1.6365,0,glueminisat
0,0,19,sparrow
0.9632,0.1635,3816,sparrow
0.935,0.2614,187,clasp2
0.2032,0.619,808,clasp2
0,0,4246,marchrw
0.7743,1.0192,21,mphaseSATm
0.7714,1.4217,641,glucose2
0.8619,0.9222,3671,marchrw
0.9717,0.1289,3931,sparrow
0.9634,0.1599,3868,sparrow
0,0,4065,satime11
0.8819,0.8723,805,marchrw
0.8875,1.0074,26,lingeling
0.9685,0.146,3811,sparrow
0.9186,0.9647,42,clasp2
0.5478,1.0326,3803,marchrw
0.9266,0.2832,190,tnm
0.5428,0.9027,85,mphaseSAT
0.9169,0.3096,4621,clasp1
0.5821,1.3766,603,glueminisat
0.9621,0.1679,3,sparrow
0.5979,1.2981,1852,ebminisat
0,0,23,eagleup
0.9161,0.6464,145,lingeling
0.9994,0.6742,1007,ebglucose
0.5976,0.757,22,picosat
0.147,0.495,547,spear-sw
0.5428,0.9027,85,mphaseSAT
0,0,4198,eagleup
0.5653,1.5728,1559,lingeling
0.8042,1.1351,354,sparrow
0.9286,0.2801,353,marchrw
0.948,0.2126,3755,satime11
0.7876,1.3327,5,picosat
0.9638,0.162,4,eagleup
0.9257,0.7288,0,picosat
0.9634,0.1626,5,eagleup
0.9469,0.3209,22,sattimep
0.609,1.1763,1818,glueminisat
0.8893,1.0198,0,ebglucose
0.9653,0.1566,22,eagleup
0.8831,0.4262,3377,picosat
0.8487,0.4379,4718,allfair
0.7464,1.4639,1001,lrglshr
0.5286,0.9173,115,cryptominisat2011
0.4697,1.6385,151,glucose2
0.5855,1.5535,1036,glucose2
0.1487,0.4792,0,picosat
0.8333,0.4506,4510,sattime
0.8358,1.1049,169,picosat
0.7211,1.4629,143,ebminisat
0,0,4176,tnm
0,0,22,gnoveltyp2
0.9639,0.1601,3,sparrow
0,0,3677,sattime
0.5228,1.8101,91,restartsat
0.9159,0.3627,1153,qutersat
0.9617,0.1672,3774,eagleup
0.7477,1.4978,2808,clasp1
0.9008,0.6593,37,precosat
0.9813,0.0966,3741,eagleup
0.9723,0.1431,61,allfair
0.9823,0.0889,0,sparrow
0.4222,1.5261,3770,clasp2
0.6662,1.5374,969,qutersat
0.5521,1.7384,2657,mphaseSAT
0.576,1.234,774,glueminisat
0,0,18,eagleup
0,0,4132,sattimep
0.953,0.9783,0,lrglshr
0.965,0.1517,3811,marchrw
0.5562,0.8813,184,cryptominisat2011
0.4693,1.6207,206,glucose2
0.9247,0.3344,4480,clasp1
0,0,4617,eagleup
0.9664,0.1526,2,eagleup
0.6033,1.3286,778,lingeling
0.9669,0.1475,3780,sparrow
0.8859,0.9207,202,clasp2
0.7126,1.4353,43,minisatpsm
0.9259,0.5921,3818,marchrw
0.7903,0.5612,0,picosat
0,0,22,sattime
0.966,0.1508,3787,tnm
0.9607,0.1734,3746,satime11
0,0,32,eagleup
0.1351,0.396,1862,mphaseSAT64
0.7669,1.3541,0,ebglucose
0.7556,1.311,983,glucose2
0.466,1.5938,102,ebminisat
0.8684,1.092,0,qutersat
0.9993,0.6746,1631,clasp1
0.7983,0.925,2138,sol
0.9277,0.9716,0,ebminisat
0.9641,0.1596,1,sparrow
0.9611,0.1684,3654,satime11
0.5676,1.6186,525,glucose2
0.1034,2.5667,387,glueminisat
0,0,4320,marchrw
0.9996,0.6736,707,mphaseSATm
0.9994,0.6742,1007,ebglucose
0.9895,0.0585,3852,marchrw
0.9988,0.0975,1721,precosat
0.9797,0.1306,0,ebglucose
0.9225,0.3357,387,lingeling
0.005,1.54,535,clasp2
0.6816,1.6017,11,mphaseSAT
0,0,4411,mphaseSATm
0.2787,0.7656,1494,marchrw
0.6517,1.4856,149,glucose2
0.9696,0.1406,3776,eagleup
1,0,4360,mphaseSAT64
0.9442,0.5311,0,lrglshr
0.9654,0.1565,28,sparrow
0.9656,0.1546,15,tnm
0,0.7705,410,cryptominisat2011
0.7693,1.2153,32,glucose2
0,0,4243,sparrow
0.9579,0.1866,11,sparrow
0.0098,0.1824,64,picosat
0.6477,1.3431,0,ebminisat
1,0.0118,4178,clasp1
0.8731,1.0302,210,mphaseSAT64
0.8458,0.4827,4279,mxc09
0.9815,0.0922,963,tnm
0.6106,1.2653,291,rcl
0.7669,1.3541,315,lingeling
0,0,26,eagleup
0.9646,0.1573,12,allfair
0.0947,2.3583,446,rcl
0.7765,1.0411,589,glucose2
0.697,1.496,966,ebminisat
0,0,4270,eagleup
0.0891,2.1369,707,clasp1
0.9837,0.0833,1059,satime11
0.9682,0.1454,16,eagleup
0,0,4355,sparrow
0.9977,0.1822,0,qutersat
0.4658,1.652,149,glucose2
0.9679,0.1549,3781,marchrw
0.9342,0.6129,0,lrglshr
0.9702,0.134,3717,satime11
0.7025,1.567,548,restartsat
0,0,3929,eagleup
0.9326,0.2638,120,satime11
0,0,40,sparrow
0.6764,1.4869,37,picosat
0.962,0.1722,3909,sattime
?,?,?,restartsat
0,0,4430,sparrow
0.8333,0.4506,4534,sattime
0.3543,0.8658,4368,marchrw
0,0,4164,eagleup
0.9595,0.1729,4168,eagleup
0.8861,1.0624,1117,clasp1
0.5337,0.921,89,minisatpsm
1,0,3924,picosat
0.872,1.0227,274,minisatpsm
0.8775,0.9511,532,ebglucose
0.483,1.7163,118,lrglshr
0,0,4209,marchrw
?,?,?,glueminisat
0.2787,0.7656,1494,marchrw
0.6174,1.2398,510,spear-hw
0.8846,0.3797,4760,sol
0.9993,0.0748,279,precosat
0.8504,0.893,0,lrglshr
0.0042,1.9656,121,clasp2
0.6459,1.3515,0,ebminisat
0.5576,1.7118,868,glueminisat
0.8821,0.5545,40,qutersat
0.3864,1.1838,4176,picosat
0.9819,0.1198,6,allfair
0.9792,0.101,3841,eagleup
0.8445,0.4837,3890,mxc09
0.7992,1.1359,423,picosat
0.9169,0.8605,295,clasp1
0,0,4432,marchrw
0.9648,0.1571,3,eagleup
0.5715,1.7817,812,picosat
0,0,4209,gnoveltyp2
0,0,3686,tnm
0.0588,1.1407,2896,marchrw
0.4469,1.6411,62,ebglucose
0.9997,0.6733,248,cryptominisat2011
1,0,4246,mphaseSAT64
1,0,4256,mphaseSAT64
0.9748,0.2071,0,mphaseSAT64
0.4629,1.6029,101,picosat
0.6999,1.7275,334,glucose2
0.6991,1.0522,46,glueminisat
0.7563,1.3076,763,glucose2
0.9758,0.1139,2941,sparrow
0.9235,0.2701,4833,gnoveltyp2
0.8745,1.101,451,qutersat
0.8867,1.0374,1255,picosat
0.9642,0.187,86,clasp2
0.9653,0.1508,3733,sparrow
0.9558,0.1912,3748,eagleup
0.571,1.5238,316,glucose2
0.7788,1.3851,391,ebglucose
0.9127,0.3202,4669,clasp1
0.7625,1.0665,927,picosat
0.8167,1.2524,0,picosat
0.9268,0.4592,395,sparrow
0.9897,0.0761,0,glucose2
0.9326,0.5591,775,tnm
0.9812,0.0932,0,glueminisat
0.4222,1.5155,1888,clasp1
0.9825,0.0883,3730,eagleup
0,0,3975,sattime
0.9052,0.3136,4808,sparrow
0.9628,0.1648,1,sparrow
0.5703,1.0929,663,qutersat
0.9161,0.9619,39,mphaseSATm
0.9463,0.2239,104,satime11
0.9996,0.6735,425,qutersat
0.8333,0.4506,4386,mphaseSAT64
0.8333,0.4506,4159,tnm
0.4865,1.091,3257,clasp2
0,0.0422,4704,glucose2
0.9683,0.1462,34,eagleup
0,0,27,eagleup
0.8715,0.9291,2278,marchrw
0.0332,1.056,36,lrglshr
0.9171,0.9743,34,lingeling
0.9758,0.1226,3601,eagleup
0,0,4299,eagleup
0.1058,2.5732,114,glueminisat
0,0,4521,eagleup
0.9798,0.1034,3734,eagleup
0.9629,0.1655,4,sparrow
0.555,0.8812,460,glueminisat
0.802,1.26,1419,restartsat
0.9316,0.6368,0,lrglshr
0.1057,2.572,56,cryptominisat2011
0.0025,0.0175,3818,mphaseSATm
0,0,4341,gnoveltyp2
0.0203,0.65,222,sparrow
0.7837,1.2359,0,mphaseSAT64
0.924,0.5949,3927,marchrw
0.0112,0.0696,155,gnoveltyp2
0.9012,0.6591,70,mphaseSAT64
0.0323,0.6867,3793,spear-sw
0.8783,0.8811,640,sattime
0.5104,1.6776,293,lrglshr
0,0,4062,sattime
0.921,0.2869,2921,allfair
0.9843,0.1132,2,allfair
0.9997,0.6733,248,precosat
0.537,2.0633,721,clasp2
?,?,?,mxc09
0.8946,1.0153,123,clasp2
0.416,1.549,2818,clasp2
0.8608,0.9305,3543,sparrow
0.0191,0.6461,581,sparrow
0.587,1.4206,0,clasp2
0.9742,0.2647,0,picosat
0.6936,1.0576,281,ebglucose
0.9516,0.2065,110,tnm
0,0,4218,sparrow
0,0,4411,mphaseSATm
0.7578,1.2556,126,ebminisat
0.9994,0.6744,1261,rcl
0,0.8255,479,restartsat
0.8333,0.4506,4497,mphaseSAT64
0.543,1.1991,164,glueminisat
0.9724,0.1263,3849,eagleup
0,0,1642,sattimep
0.9757,0.163,5,sparrow
0.9312,0.2505,4834,gnoveltyp2
0.8401,1.048,275,ebminisat
0.8333,0.4506,4432,sattimep
0.4074,1.7352,1765,clasp2
0.6828,1.757,0,picosat
0.9997,0.0518,21,lingeling
0.9616,0.1681,3773,eagleup
0.2017,0.6334,0,glucose2
0.5427,0.9025,76,cryptominisat2011
0.0909,0.8158,0,ebminisat
0.4658,1.652,149,glucose2
0.6345,1.4907,147,cryptominisat2011
0.8758,0.983,2998,glueminisat
0.0205,1.2623,113,mxc09
0,0,34,tnm
0.2892,1.9286,671,clasp2
0.7135,0.8002,722,lrglshr
0.9588,0.9333,0,clasp2
