@relation 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute d_ratio_int_cons numeric
@attribute d_ratio_array_cons numeric
@attribute d_ratio_int_vars numeric
@attribute algorithm {bprolog,fzn2smt,g12cpx,g12fd,g12lazyfd,g12mip,gecode,izplus,minisatid,mistral,ortools,allfair}

@data
0.800037,0.156882,0.61692,allfair
1,0,1,allfair
0.908034,0.091966,0.834061,allfair
0.800037,0.156882,0.61692,allfair
0.028021,0.971272,0.055556,ortools
0.910022,0.089978,0.83736,mistral
0.910494,0.089506,0.83801,minisatid
0.02658,0.973062,0.055556,ortools
0.028147,0.971096,0.055556,fzn2smt
0.800088,0.156824,0.616984,allfair
0.812547,0.171444,0.580815,allfair
1,0,1,allfair
0.909404,0.090596,0.836356,allfair
0.27027,0.72973,0.166667,g12cpx
0.333333,0.666667,0.204082,izplus
0.333333,0.666667,0.170213,g12cpx
0.678571,0.321429,0.05313,fzn2smt
0.815389,0.173848,0.574792,allfair
0.678571,0.321429,0.05313,fzn2smt
0.800047,0.15687,0.616933,allfair
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,fzn2smt
0.812627,0.17136,0.580906,allfair
0.678571,0.321429,0.05313,minisatid
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,minisatid
0.91081,0.08919,0.838637,minisatid
0.678571,0.321429,0.05313,minisatid
0.025013,0.974987,0.055556,fzn2smt
0.800037,0.156882,0.61692,allfair
0.678571,0.321429,0.05313,fzn2smt
0.678571,0.321429,0.05313,minisatid
0.025033,0.974967,0.055556,fzn2smt
0.678571,0.321429,0.05313,minisatid
0.800291,0.156592,0.617239,allfair
0.678571,0.321429,0.05313,minisatid
1,0,1,fzn2smt
1,0,1,izplus
0.910864,0.089136,0.838639,minisatid
1,0,1,allfair
0.771505,0,1,allfair
0.678571,0.321429,0.05313,minisatid
0.678571,0.321429,0.05313,fzn2smt
0.763552,0,1,allfair
0.800149,0.156754,0.61706,allfair
0.027422,0.971979,0.055556,ortools
0.678571,0.321429,0.05313,minisatid
0.678571,0.321429,0.05313,fzn2smt
0.800037,0.156882,0.61692,allfair
0.919943,0,1,fzn2smt
0.918963,0,1,izplus
0.9182,0,1,fzn2smt
0.800037,0.156882,0.61692,allfair
0.812667,0.171318,0.580952,allfair
0.917012,0,1,izplus
0.9182,0,1,fzn2smt
0.812627,0.17136,0.580906,allfair
0.921965,0,1,izplus
0.678571,0.321429,0.05313,minisatid
0.024926,0.975074,0.055556,fzn2smt
0.915612,0,1,izplus
0.918167,0,1,fzn2smt
0.915612,0,1,izplus
0.81272,0.171262,0.581012,allfair
0.812894,0.171079,0.58121,allfair
1,0,1,g12lazyfd
1,0,1,g12lazyfd
0.025014,0.974986,0.055556,ortools
1,0,1,fzn2smt
0.918963,0,1,izplus
1,0,1,g12lazyfd
0.800037,0.156882,0.61692,allfair
0.917012,0,1,allfair
0.910126,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
0.910126,0,1,allfair
1,0,1,allfair
1,0,1,fzn2smt
0.024734,0.975266,0.055556,gecode
0.920084,0,1,izplus
0.815364,0.173874,0.574764,allfair
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,allfair
0.919705,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.919705,0,1,izplus
0.917012,0,1,allfair
0.919705,0,1,allfair
1,0,1,g12lazyfd
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.910865,0.089135,0.838795,minisatid
1,0,1,allfair
0.812707,0.171276,0.580997,allfair
1,0,1,allfair
1,0,1,allfair
0.909968,0.090032,0.837353,mistral
1,0,1,allfair
0.911163,0.088837,0.839146,minisatid
1,0,1,allfair
1,0,1,allfair
0.910626,0.089374,0.838436,mistral
1,0,1,allfair
0.024462,0.974894,0.05,ortools
0.815426,0.17381,0.574833,allfair
0.326531,0.673469,0.333333,g12cpx
0.023959,0.975505,0.05,fzn2smt
0.302521,0.697479,0.333333,g12cpx
0.28169,0.71831,0.333333,g12cpx
0.91128,0.08872,0.839435,allfair
1,0,1,g12cpx
0.81272,0.171262,0.581012,allfair
1,0,1,minisatid
0.023395,0.976235,0.05,fzn2smt
1,0,1,minisatid
1,0,1,g12cpx
1,0,1,allfair
1,0,1,g12cpx
1,0,1,fzn2smt
1,0,1,fzn2smt
0.911179,0.088821,0.839416,minisatid
0.81272,0.171262,0.581012,allfair
0.911463,0.088537,0.839861,minisatid
0.815525,0.173708,0.574943,allfair
1,0,1,allfair
1,0,1,minisatid
0.022496,0.977238,0.05,fzn2smt
1,0,1,g12cpx
1,0,1,izplus
0.911479,0.088521,0.83984,minisatid
0.912517,0.087483,0.84173,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
0.022208,0.977588,0.05,fzn2smt
1,0,1,izplus
1,0,1,izplus
0.812774,0.171206,0.581073,allfair
0.912184,0.087816,0.841187,minisatid
1,0,1,izplus
1,0,1,g12cpx
1,0,1,izplus
1,0,1,g12cpx
0.911649,0.088351,0.840063,allfair
1,0,1,izplus
1,0,1,minisatid
1,0,1,izplus
1,0,1,izplus
1,0,1,minisatid
0.02166,0.97834,0.05,fzn2smt
1,0,1,izplus
0.02151,0.97849,0.05,fzn2smt
0.021537,0.978463,0.05,fzn2smt
1,0,1,izplus
1,0,1,izplus
1,0,1,izplus
1,0,1,izplus
1,0,1,izplus
1,0,1,izplus
1,0,1,mistral
1,0,1,izplus
1,0,1,izplus
1,0,1,allfair
1,0,1,izplus
1,0,1,g12cpx
1,0,1,minisatid
0.021321,0.978679,0.05,fzn2smt
1,0,1,izplus
1,0,1,allfair
1,0,1,allfair
0.021313,0.978687,0.05,ortools
0.815475,0.173759,0.574888,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,izplus
1,0,1,allfair
0.911946,0.088054,0.840634,g12mip
1,0,1,allfair
1,0,1,izplus
1,0,1,allfair
0.912072,0.087928,0.840899,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
0.911947,0.088053,0.840569,allfair
1,0,1,allfair
0.190658,0.808389,0.333333,minisatid
0.912009,0.087991,0.84083,minisatid
1,0,1,g12cpx
1,0,1,allfair
1,0,1,izplus
1,0,1,izplus
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,allfair
0.181818,0.818182,0.333333,izplus
1,0,1,allfair
1,0,1,izplus
1,0,1,minisatid
1,0,1,allfair
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
1,0,1,allfair
0.680851,0.319149,0.066667,allfair
1,0,1,allfair
0.680851,0.319149,0.066667,allfair
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
1,0,1,allfair
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.912313,0.087687,0.841259,g12mip
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
1,0,1,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
1,0,1,izplus
0.680851,0.319149,0.066667,allfair
0.680851,0.319149,0.066667,minisatid
0.912613,0.087387,0.84186,allfair
0.680851,0.319149,0.066667,minisatid
0.680851,0.319149,0.066667,minisatid
1,0,1,allfair
0.912192,0.087808,0.840987,allfair
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,allfair
0.912535,0.087465,0.841689,allfair
0.912998,0.087002,0.842577,g12mip
0.913116,0.086884,0.842751,allfair
0.677419,0.322581,0.05,allfair
0.02064,0.97901,0.045455,fzn2smt
0.677419,0.322581,0.05,minisatid
0.020522,0.979131,0.045455,fzn2smt
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,minisatid
0.677237,0.322763,0.05,allfair
0.677419,0.322581,0.05,allfair
0.677237,0.322763,0.05,allfair
0.023628,0.976372,0.047619,izplus
0.020383,0.979294,0.045455,fzn2smt
0.022758,0.977242,0.047619,fzn2smt
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,minisatid
0.677419,0.322581,0.05,allfair
0.677237,0.322763,0.05,allfair
0.677419,0.322581,0.05,minisatid
0.677237,0.322763,0.05,minisatid
0.677237,0.322763,0.05,minisatid
0.677237,0.322763,0.05,minisatid
0.677419,0.322581,0.05,minisatid
0.677419,0.322581,0.05,allfair
0.912609,0.087391,0.841763,allfair
0.680851,0.319149,0.066667,minisatid
0.677237,0.322763,0.05,minisatid
0.677419,0.322581,0.05,minisatid
0.677237,0.322763,0.05,allfair
1,0,1,allfair
0.020194,0.979528,0.045455,fzn2smt
0.875,0.125,0.538462,allfair
0.677237,0.322763,0.05,allfair
0.022805,0.977195,0.047619,fzn2smt
0.785714,0.214286,0.538462,minisatid
0.785714,0.214286,0.538462,izplus
0.677237,0.322763,0.05,allfair
0.677237,0.322763,0.05,minisatid
0.677237,0.322763,0.05,minisatid
0.677237,0.322763,0.05,allfair
0.8125,0.1875,0.538462,minisatid
0.785714,0.214286,0.538462,izplus
0.785714,0.214286,0.538462,izplus
0.019764,0.979985,0.045455,allfair
0.677237,0.322763,0.05,minisatid
0.677237,0.322763,0.05,allfair
0.8125,0.1875,0.538462,minisatid
0.785714,0.214286,0.538462,minisatid
0.677419,0.322581,0.05,minisatid
0.677237,0.322763,0.05,allfair
0.8125,0.1875,0.538462,allfair
0.875,0.125,0.538462,allfair
0.677237,0.322763,0.05,allfair
0.8125,0.1875,0.538462,allfair
0.967742,0,1,allfair
0.677237,0.322763,0.05,allfair
0.677419,0.322581,0.05,minisatid
0.677237,0.322763,0.05,allfair
0.677419,0.322581,0.05,allfair
0.677237,0.322763,0.05,minisatid
0.875,0.125,0.538462,allfair
1,0,1,allfair
0.677237,0.322763,0.05,allfair
1,0,1,allfair
0.677237,0.322763,0.05,allfair
1,0,1,allfair
0.785714,0.214286,0.538462,izplus
0.677237,0.322763,0.05,fzn2smt
0.677237,0.322763,0.05,allfair
0.952381,0,1,allfair
0.952381,0,1,allfair
1,0,1,bprolog
1,0,1,allfair
0.785714,0.214286,0.538462,izplus
1,0,1,bprolog
0.913072,0.086928,0.842644,allfair
0.8125,0.1875,0.538462,minisatid
1,0,1,bprolog
0.677237,0.322763,0.05,allfair
1,0,1,allfair
1,0,1,bprolog
0.677237,0.322763,0.05,allfair
0.785714,0.214286,0.538462,izplus
1,0,1,izplus
1,0,1,bprolog
0.785714,0.214286,0.538462,minisatid
1,0,1,bprolog
1,0,1,allfair
0.022932,0.977068,0.047619,minisatid
0.677237,0.322763,0.05,allfair
0.9129,0.0871,0.842309,allfair
0.018945,0.981055,0.045455,fzn2smt
1,0,1,bprolog
1,0,1,bprolog
0.8125,0.1875,0.538462,minisatid
0.677237,0.322763,0.05,allfair
1,0,1,bprolog
1,0,1,allfair
0,0,1,allfair
0,0,1,allfair
1,0,1,allfair
0.677237,0.322763,0.05,minisatid
0,0,1,allfair
1,0,1,bprolog
1,0,1,allfair
0.677237,0.322763,0.05,minisatid
1,0,1,allfair
0.8125,0.1875,0.538462,minisatid
0.677419,0.322581,0.05,allfair
0.022171,0.977829,0.047619,fzn2smt
0,0,1,allfair
0.0188,0.9812,0.045455,fzn2smt
0.677419,0.322581,0.05,minisatid
1,0,1,bprolog
0,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
0.677419,0.322581,0.05,allfair
0.018824,0.981176,0.045455,fzn2smt
0.677419,0.322581,0.05,allfair
1,0,1,g12cpx
0.677419,0.322581,0.05,minisatid
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
0.022784,0.977216,0.047619,izplus
1,0,1,allfair
1,0,1,g12cpx
0.677419,0.322581,0.05,allfair
1,0,1,allfair
0.677419,0.322581,0.05,allfair
0.677419,0.322581,0.05,allfair
1,0,1,bprolog
1,0,1,g12cpx
0.677419,0.322581,0.05,allfair
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,allfair
1,0,1,minisatid
0.02191,0.97809,0.047619,ortools
1,0,1,g12cpx
1,0,1,bprolog
0.677419,0.322581,0.05,minisatid
1,0,1,allfair
0.913591,0.086409,0.84359,allfair
1,0,1,g12cpx
1,0,1,minisatid
0.677419,0.322581,0.05,allfair
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
0.967742,0,1,allfair
0.673267,0.326733,0.081081,g12lazyfd
0.022598,0.977402,0.047619,ortools
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.962963,0,1,izplus
1,0,1,allfair
0.967742,0,1,izplus
1,0,1,g12lazyfd
1,0,1,minisatid
0.022606,0.977394,0.047619,izplus
0.01858,0.98142,0.045455,allfair
0.018809,0.981191,0.045455,fzn2smt
0.971429,0,1,izplus
1,0,1,allfair
1,0,1,allfair
0.972973,0,1,izplus
1,0,1,allfair
1,0,1,allfair
0.956522,0,1,izplus
0.976744,0,1,allfair
1,0,1,allfair
0.952381,0,1,izplus
1,0,1,minisatid
0.96,0,1,izplus
0.974359,0,1,izplus
0.668966,0.331034,0.03,g12cpx
0.913572,0.086428,0.843528,allfair
0.969697,0,1,izplus
1,0,1,allfair
0.668896,0.331104,0.029554,allfair
1,0,1,allfair
0.947368,0,1,izplus
0.941176,0,1,izplus
1,0,1,allfair
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,g12cpx
0.965517,0,1,izplus
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
0.97561,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,izplus
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
0.912853,0.087147,0.842178,allfair
1,0,1,g12mip
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12mip
1,0,1,mistral
1,0,1,izplus
1,0,1,allfair
1,0,1,g12mip
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
0.024333,0.975667,0.047619,izplus
1,0,1,g12cpx
1,0,1,g12mip
1,0,1,minisatid
1,0,1,izplus
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12mip
1,0,1,minisatid
1,0,1,g12mip
1,0,1,g12mip
1,0,1,minisatid
1,0,1,mistral
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,g12mip
1,0,1,minisatid
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,g12mip
1,0,1,g12mip
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,g12lazyfd
1,0,1,g12cpx
1,0,1,mistral
1,0,1,minisatid
1,0,1,g12lazyfd
1,0,1,g12mip
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12mip
1,0,1,fzn2smt
1,0,1,minisatid
1,0,1,minisatid
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12lazyfd
0.020816,0.979184,0.047619,fzn2smt
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12mip
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
0.023276,0.976724,0.047619,izplus
1,0,1,allfair
1,0,1,allfair
0.166078,0.833922,0.166667,gecode
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
1,0,1,g12mip
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,g12cpx
1,0,1,fzn2smt
0,0,1,allfair
1,0,1,allfair
1,0,1,izplus
1,0,1,g12lazyfd
1,0,1,g12mip
1,0,1,allfair
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
0,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
1,0,1,bprolog
1,0,1,g12mip
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,allfair
0.666667,0.333333,0.052632,minisatid
1,0,1,g12lazyfd
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,allfair
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,allfair
0,0,1,allfair
0,0,1,allfair
0.666667,0.333333,0.052632,g12cpx
1,0,1,minisatid
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,bprolog
1,0,1,allfair
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
0,0,1,allfair
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,g12mip
0,0,1,izplus
0.666667,0.333333,0.052632,minisatid
1,0,1,fzn2smt
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.052632,minisatid
0.021173,0.978827,0.047619,fzn2smt
0.666667,0.333333,0.052632,minisatid
1,0,1,minisatid
0.021477,0.978523,0.047619,ortools
1,0,1,minisatid
1,0,1,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.034483,fzn2smt
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,g12cpx
1,0,1,g12mip
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.034483,g12cpx
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.034483,minisatid
1,0,1,minisatid
1,0,1,minisatid
0.666667,0.333333,0.034483,minisatid
1,0,1,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.034483,minisatid
0.021811,0.978189,0.047619,fzn2smt
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.142857,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.142857,izplus
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.142857,minisatid
0.913194,0.086806,0.84281,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.142857,minisatid
0.666667,0.333333,0.034483,minisatid
0.666667,0.333333,0.052632,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,g12cpx
0.666667,0.333333,0.142857,izplus
0.666667,0.333333,0.142857,g12cpx
0.666667,0.333333,0.111111,izplus
0.666667,0.333333,0.111111,izplus
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.111111,izplus
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.111111,minisatid
1,0,1,allfair
0.913057,0.086943,0.842526,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.034483,mistral
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.034483,allfair
0.913434,0.086566,0.84326,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.034483,allfair
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.034483,minisatid
0.02136,0.97864,0.047619,ortools
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
1,0,1,ortools
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
1,0,1,g12mip
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.021313,0.978687,0.047619,fzn2smt
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.142857,izplus
0.666667,0.333333,0.111111,izplus
1,0,1,minisatid
1,0,1,g12lazyfd
0.020835,0.979165,0.047619,ortools
0.666667,0.333333,0.076923,minisatid
1,0,1,minisatid
0.023325,0.976675,0.047619,fzn2smt
0.019725,0.980275,0.047619,fzn2smt
1,0,1,izplus
1,0,1,allfair
0.666667,0.333333,0.111111,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
1,0,1,minisatid
0.666667,0.333333,0.076923,minisatid
1,0,1,minisatid
0.91393,0.08607,0.84414,allfair
0.020962,0.979038,0.047619,ortools
1,0,1,bprolog
0.666667,0.333333,0.076923,izplus
0.666667,0.333333,0.076923,minisatid
1,0,1,minisatid
0.024593,0.975407,0.047619,izplus
1,0,1,izplus
0.666667,0.333333,0.076923,minisatid
0.666667,0.333333,0.076923,minisatid
0.914043,0.085957,0.84436,allfair
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,g12lazyfd
1,0,1,minisatid
0.073005,0.926995,0.166667,ortools
1,0,1,g12lazyfd
1,0,1,minisatid
0.666667,0.333333,0.025641,minisatid
0.020383,0.979617,0.047619,ortools
0.666667,0.333333,0.025641,minisatid
1,0,1,allfair
0.666667,0.333333,0.025641,minisatid
0.666667,0.333333,0.025641,minisatid
1,0,1,minisatid
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,allfair
0.020728,0.979272,0.047619,fzn2smt
1,0,1,allfair
0.658405,0.329202,0.035261,izplus
1,0,1,g12mip
0.54742,0.27371,0.152207,izplus
0.666667,0.333333,0.025641,minisatid
0.666667,0.333333,0.025641,minisatid
1,0,1,g12mip
0.661943,0.330972,0.029674,izplus
1,0,1,g12mip
1,0,1,fzn2smt
1,0,1,g12lazyfd
0.658099,0.329049,0.035537,izplus
1,0,1,fzn2smt
0.658529,0.329265,0.042265,izplus
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,g12mip
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
0.666667,0.333333,0.025641,g12cpx
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
0.619971,0.309986,0.058072,minisatid
0.018895,0.981105,0.047619,ortools
1,0,1,allfair
1,0,1,allfair
0.666667,0.333333,0.025641,minisatid
1,0,1,g12mip
1,0,1,allfair
1,0,1,allfair
1,0,1,fzn2smt
0.614512,0.307256,0.065125,izplus
1,0,1,allfair
1,0,1,g12mip
1,0,1,g12cpx
0.666667,0.333333,0.025641,minisatid
1,0,1,g12lazyfd
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
0.666667,0.333333,0.025641,minisatid
1,0,1,g12lazyfd
1,0,1,g12lazyfd
1,0,1,allfair
0.021253,0.978747,0.047619,gecode
1,0,1,g12lazyfd
1,0,1,g12lazyfd
1,0,1,g12mip
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
0,0,1,g12cpx
1,0,1,allfair
0.022184,0.977816,0.047619,fzn2smt
0.666667,0.333333,0.025641,minisatid
0,0,1,g12cpx
0,0,1,g12cpx
1,0,1,fzn2smt
0,0,1,g12cpx
0,0,1,g12cpx
1,0,1,allfair
0,0,1,g12cpx
0,0,1,g12cpx
0.666667,0.333333,0.025641,minisatid
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
0.666667,0.333333,0.025641,minisatid
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12mip
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,minisatid
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,minisatid
1,0,1,izplus
0.666667,0.333333,0.025641,minisatid
1,0,1,izplus
1,0,1,bprolog
0.666667,0.333333,0.025641,allfair
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,mistral
1,0,1,izplus
0.666667,0.333333,0.025641,minisatid
1,0,1,allfair
1,0,1,izplus
1,0,1,minisatid
1,0,1,allfair
0.666667,0.333333,0.025641,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,allfair
1,0,1,g12cpx
1,0,1,minisatid
1,0,1,allfair
