@relation 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@attribute VCG_CLAUSE_min numeric
@attribute saps_FirstLocalMinStep_Q10 numeric
@attribute gsat_BestSolution_Mean numeric
@attribute cl_size_mean numeric
@attribute nclauses numeric
@attribute algorithm {EagleUP_1.565.350,SAT09referencesolverTNM_2009-03-22,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02,adaptg2wsat2011_2011-03-02,sattime2011_2011-03-02,MPhaseSAT_M_2011-02-16,march_rw_2011-03-02,SAT09referencesolvermarch_hi_hi,SAT09referencesolvergnovelty+2_2009-03-22,allfair}

@data
0.0002,4238,366.714,70.9112,83386,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0088,68,8.9053,22.1591,1485,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1,8,4.6067,13.8567,1065,march_rw_2011-03-02
0.04,20,9.6452,27.8759,2662,allfair
0.0333,25,11.2089,31.8791,3195,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1,9,8.2734,25.6942,6230,SAT09referencesolverTNM_2009-03-22
0.0041,149,18.1554,36.3648,3162,SAT09referencesolverTNM_2009-03-22
0.0068,88,14.8827,25.8184,1909,march_rw_2011-03-02
0.14,6,6.3298,19.9212,4450,march_rw_2011-03-02
0.0044,141,17.8951,36.141,2969,SAT09referencesolvergnovelty+2_2009-03-22
0.05,16,8.1337,23.1966,2130,march_rw_2011-03-02
0.004,221,53.9353,61.9076,25000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0068,89,13.9189,26.253,1910,march_rw_2011-03-02
0.0006,1043,90.1029,41.6524,20880,EagleUP_1.565.350
0.0778,12,10.4178,31.5333,8010,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0089,67,10.1673,22.3145,1478,SAT09referencesolvergnovelty+2_2009-03-22
0.0667,12,6.215,18.9147,1597,EagleUP_1.565.350
0.035,27,18.3431,56.9274,17000,adaptg2wsat2011_2011-03-02
0.14,6,6.3601,19.7007,4450,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0056,110,14.3057,31.1664,2334,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0002,0,383.75,72.9823,83458,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0048,128,16.4938,33.9998,2747,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0667,12,6.1014,18.8366,1597,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0038,163,19.062,31.6228,3391,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,10514,1934,99.2017,208731,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0087,68,12.8037,21.5139,1485,SAT09referencesolvermarch_hi_hi
0.0056,108,17.8194,29.5621,2323,march_rw_2011-03-02
0.0055,111,15.4169,30.425,2337,SAT09referencesolvergnovelty+2_2009-03-22
0.035,27,18.0548,57.1349,17000,SAT09referencesolverTNM_2009-03-22
0.0039,158,20.126,32.5657,3372,SAT09referencesolverTNM_2009-03-22
0.0076,78,12.8816,24.3419,1698,march_rw_2011-03-02
0.0003,2100,149.095,52.6921,41669,EagleUP_1.565.350
0.0875,10,9.6259,28.5149,7120,adaptg2wsat2011_2011-03-02
0.04,20,10.2669,27.6823,2662,allfair
0.0233,42,26.0815,51.7283,25500,allfair
0.04,20,9.8794,27.9408,2662,allfair
0.1167,8,7.5537,22.7151,5340,SAT09referencesolvermarch_hi_hi
0.0087,68,11.464,21.9087,1483,sattime2011_2011-03-02
0.14,6,6.3544,19.6986,4450,march_rw_2011-03-02
0.0068,88,13.7861,26.0124,1907,SAT09referencesolvermarch_hi_hi
0.0467,20,14.4174,46.7527,12750,MPhaseSAT_M_2011-02-16
0.0233,42,25.7311,51.8492,25500,allfair
0.005,176,43.556,56.797,20000,EagleUP_1.565.350
0.0875,10,9.3644,28.5229,7120,SAT09referencesolvergnovelty+2_2009-03-22
0.0056,108,17.4624,28.9776,2330,march_rw_2011-03-02
0.0467,20,14.2691,46.691,12750,SAT09referencesolverTNM_2009-03-22
0.0122,47,9.1595,16.8631,1060,march_rw_2011-03-02
0.0048,128,16.9136,34.5828,2746,SAT09referencesolverTNM_2009-03-22
0.0062,99,12.4242,29.592,2117,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0089,66,10.7005,21.1633,1477,march_rw_2011-03-02
0.0001,8505,1775.75,91.2461,166841,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,6345,674,79.5929,125239,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0006,1041,90.3333,42.3292,20886,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,11.3781,31.8642,3195,allfair
0.0062,97,14.5787,28.2683,2115,march_rw_2011-03-02
0.0025,359,83.5769,73.5252,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.14,6,6.4009,19.6951,4450,SAT09referencesolvermarch_hi_hi
0.0001,5183,527.833,81.5121,104392,EagleUP_1.565.350
0.0667,12,6.7038,18.7769,1597,march_rw_2011-03-02
0.1167,8,7.4276,22.8859,5340,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,0,4048.6,97.3182,145991,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0048,128,17.8708,34.0105,2748,sattime2011_2011-03-02
0.0667,12,6.578,18.8937,1597,sattime2011_2011-03-02
0.04,20,10.618,27.5419,2662,allfair
0.0467,20,14.1647,46.8743,12750,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,10752,2096.67,108.7411,208679,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.04,20,8.7243,28.1514,2662,EagleUP_1.565.350
0.0069,88,12.8378,26.5205,1902,SAT09referencesolvergnovelty+2_2009-03-22
0.0068,88,12.2793,26.8968,1905,sattime2011_2011-03-02
0.05,16,7.6006,23.5836,2130,adaptg2wsat2011_2011-03-02
0.0089,67,10.5737,21.0379,1476,march_rw_2011-03-02
0.0047,128,18.6683,32.9096,2742,allfair
0.0047,129,18.0269,35.0001,2741,EagleUP_1.565.350
0.0333,24,12.0067,31.9711,3195,allfair
0.0667,12,6.5408,19.0922,1597,march_rw_2011-03-02
0.05,16,8.1667,23.4421,2130,march_rw_2011-03-02
0.005,178,45.0506,56.7121,20000,adaptg2wsat2011_2011-03-02
0.0077,78,12.4853,24.3543,1697,sattime2011_2011-03-02
0.0041,152,20.3066,36.9206,3186,adaptg2wsat2011_2011-03-02
0.0233,42,26.4208,51.5566,25500,allfair
0.04,20,9.8227,27.554,2662,SAT09referencesolvergnovelty+2_2009-03-22
0.1,9,8.4898,25.7148,6230,allfair
0.0062,97,16.1649,27.6675,2116,march_rw_2011-03-02
0.0044,139,19.0706,36.0605,2960,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,0,1728.25,98.6867,166901,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0467,20,14.2929,46.2871,12750,MPhaseSAT_M_2011-02-16
0.0778,12,10.6455,31.4821,8010,allfair
0.0088,67,10.8795,21.5264,1483,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0061,99,16.0014,27.051,2120,SAT09referencesolvermarch_hi_hi
0.1,9,8.4633,25.6934,6230,SAT09referencesolvergnovelty+2_2009-03-22
0.0067,90,10.9895,28.1645,1912,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0067,131,33.9918,51.8377,15000,sattime2011_2011-03-02
0.0068,89,11.4899,26.7371,1907,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.035,27,18.4192,57.6467,17000,EagleUP_1.565.350
0.0122,48,8.9227,16.5117,1060,march_rw_2011-03-02
0.005,177,44.2929,56.7456,20000,SAT09referencesolvergnovelty+2_2009-03-22
0.0025,358,80.2771,73.4902,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.028,35,22.208,48.8417,21250,allfair
0.1,9,8.4655,25.9025,6230,EagleUP_1.565.350
0.0012,509,52.3404,34.3481,10419,EagleUP_1.565.350
0.0038,161,20.0645,32.8407,3397,SAT09referencesolverTNM_2009-03-22
0.0044,139,17.3145,35.7708,2951,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,119,18.5071,32.4001,2549,allfair
0.004,220,54.0875,61.1935,25000,EagleUP_1.565.350
0.0875,10,9.5289,28.4456,7120,SAT09referencesolvergnovelty+2_2009-03-22
0.0012,514,51.2589,34.2883,10451,EagleUP_1.565.350
0.0052,119,15.3218,32.1278,2539,sattime2011_2011-03-02
0.0102,58,10.1611,18.4636,1272,march_rw_2011-03-02
0.14,6,6.5152,19.7319,4450,SAT09referencesolvergnovelty+2_2009-03-22
0.0051,120,16.5436,33.0958,2545,EagleUP_1.565.350
0.0001,10678,2040,105.8276,208521,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0875,10,9.4502,28.3964,7120,allfair
0.0047,130,18.4451,35.121,2756,allfair
0.0061,99,13.0149,27.8675,2111,adaptg2wsat2011_2011-03-02
0.0102,58,10.6018,19.2356,1272,march_rw_2011-03-02
0.0038,159,20.3286,33.2473,3383,SAT09referencesolverTNM_2009-03-22
0.0006,1041,109.806,41.4764,20886,EagleUP_1.565.350
0.0001,10647,2059,98.7432,208679,adaptg2wsat2011_2011-03-02
0.0025,363,84.8375,74.3329,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0778,12,10.4161,31.1756,8010,allfair
0.0076,78,13.9314,23.8796,1698,march_rw_2011-03-02
0.005,176,46.6553,57.4296,20000,sattime2011_2011-03-02
0.0051,118,18.8054,32.697,2545,allfair
0.0175,56,33.0803,58.5822,34000,allfair
0.14,6,6.1268,19.8374,4450,SAT09referencesolvermarch_hi_hi
0.0078,78,11.3235,24.1466,1689,EagleUP_1.565.350
0.0467,20,14.0179,46.7966,12750,sattime2011_2011-03-02
0.0006,1036,86.5538,41.8495,20870,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,7578,810.75,94.7452,146043,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.05,16,8.3454,23.4754,2130,march_rw_2011-03-02
0.004,222,53.0452,62.0955,25000,SAT09referencesolverTNM_2009-03-22
0.0039,159,20.1601,33.4194,3362,SAT09referencesolvergnovelty+2_2009-03-22
0.14,6,6.3326,19.7553,4450,SAT09referencesolvermarch_hi_hi
0.0875,10,9.4356,28.3276,7120,allfair
0.0047,128,18.2319,33.9873,2751,allfair
0.0056,108,19.072,29.8472,2328,march_rw_2011-03-02
0.0778,12,10.3838,31.2593,8010,allfair
0.0333,25,12.0365,31.8799,3195,allfair
0.0068,89,13.1836,26.3107,1908,sattime2011_2011-03-02
0.0047,128,18.5278,34.0865,2748,allfair
0.0667,12,6.4544,18.917,1597,march_rw_2011-03-02
0.0175,57,33.4239,58.9611,34000,allfair
0.0068,89,12.5806,26.5335,1908,EagleUP_1.565.350
0.14,6,6.1948,19.9324,4450,SAT09referencesolvergnovelty+2_2009-03-22
0.0067,132,35.734,51.1723,15000,EagleUP_1.565.350
0.0033,269,64.3387,68.1145,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0087,68,11.7939,21.9233,1483,march_rw_2011-03-02
0.0077,77,12.3499,23.9186,1692,march_rw_2011-03-02
0.0001,0,806.5,91.2944,146049,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,11.6561,31.8604,3195,allfair
0.1167,8,7.529,22.6768,5340,SAT09referencesolvermarch_hi_hi
0.1,8,5.0716,13.6263,1065,march_rw_2011-03-02
0.0061,98,15.9533,28.672,2119,SAT09referencesolverTNM_2009-03-22
0.0002,0,386.286,69.6222,83511,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0286,29,12.5384,35.5667,3727,EagleUP_1.565.350
0.1,8,4.8336,13.669,1065,march_rw_2011-03-02
0.0061,98,14.9225,27.95,2119,march_rw_2011-03-02
0.0067,132,34.6894,50.9179,15000,SAT09referencesolvergnovelty+2_2009-03-22
0.0056,108,17.9968,29.2021,2331,march_rw_2011-03-02
0.0038,159,20.8304,31.0105,3387,SAT09referencesolverTNM_2009-03-22
0.0061,100,13.6185,29.295,2115,MPhaseSAT_M_2011-02-16
0.028,35,21.898,48.9031,21250,allfair
0.0044,140,19.8691,35.9252,2969,allfair
0.0044,140,16.0647,36.8759,2964,SAT09referencesolvergnovelty+2_2009-03-22
0.0069,87,13.8772,26.0064,1898,march_rw_2011-03-02
0.0001,10597,2239.67,106.4023,208561,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0033,268,62.7698,65.8476,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.14,6,6.0758,19.7337,4450,SAT09referencesolvergnovelty+2_2009-03-22
0.14,6,6.3053,19.8742,4450,SAT09referencesolvermarch_hi_hi
0.0062,97,13.7188,28.8035,2116,SAT09referencesolverTNM_2009-03-22
0.0076,78,14.3183,23.9794,1698,march_rw_2011-03-02
0.0001,5296,509.5,76.2779,104378,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0002,0,268.455,63.4351,62606,EagleUP_1.565.350
0.0778,12,10.4387,31.2559,8010,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,7416,842.5,87.5315,145973,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0044,139,22.471,35.5407,2959,allfair
0.0077,79,11.7258,24.2231,1696,EagleUP_1.565.350
0.004,222,54.0647,62.4318,25000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0286,29,12.7371,35.9704,3727,adaptg2wsat2011_2011-03-02
0.0333,25,10.6197,32.0067,3195,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0467,20,14.3189,46.5002,12750,sattime2011_2011-03-02
0.1,9,8.5141,25.8843,6230,SAT09referencesolvermarch_hi_hi
0.0088,68,9.2088,27.1056,1482,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0061,100,12.7145,28.6299,2121,adaptg2wsat2011_2011-03-02
0.0778,12,10.4631,31.1961,8010,EagleUP_1.565.350
0.0286,29,12.7025,36.2249,3727,SAT09referencesolverTNM_2009-03-22
0.0068,89,13.1468,26.1837,1909,SAT09referencesolvergnovelty+2_2009-03-22
0.1167,8,7.1668,22.6818,5340,SAT09referencesolvermarch_hi_hi
0.0048,128,17.4458,33.8067,2741,MPhaseSAT_M_2011-02-16
0.0067,130,33.8817,51.7943,15000,EagleUP_1.565.350
0.0175,58,32.481,58.9883,34000,allfair
0.0667,12,6.2279,18.9961,1597,march_rw_2011-03-02
0.0467,20,14.1301,46.7179,12750,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0041,150,19.107,34.2784,3178,SAT09referencesolvergnovelty+2_2009-03-22
0.0087,68,12.6416,21.0405,1486,march_rw_2011-03-02
0.0051,119,18.1701,32.1398,2531,allfair
0.0778,12,10.3993,31.5017,8010,allfair
0.0002,4175,395,69.1877,83374,EagleUP_1.565.350
0.0006,1033,93.375,41.3851,20865,EagleUP_1.565.350
0.04,20,9.5364,27.8622,2662,sattime2011_2011-03-02
0.0067,131,35.0276,51.2124,15000,EagleUP_1.565.350
0.04,20,8.8899,28.032,2662,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,10716,1878.33,108.5449,208696,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0086,69,11.2611,21.1344,1488,EagleUP_1.565.350
0.0002,0,259,59.8407,62533,EagleUP_1.565.350
0.0001,5233,505.833,81.8775,104334,EagleUP_1.565.350
0.0875,10,9.3859,28.4644,7120,allfair
0.0001,10545,1865.67,110.3553,208673,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.05,16,8.1575,23.5809,2130,EagleUP_1.565.350
0.0001,5303,839.857,80.057,104287,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0038,160,21,32.8706,3393,sattime2011_2011-03-02
0.0233,41,25.6131,51.869,25500,allfair
0.0061,99,14.8497,29.391,2124,march_rw_2011-03-02
0.0041,150,19.3136,38.1631,3175,adaptg2wsat2011_2011-03-02
0.0778,12,10.5851,30.9287,8010,EagleUP_1.565.350
0.0006,1032,87.2113,42.4635,20883,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.004,223,55.6129,63.2868,25000,EagleUP_1.565.350
0.0077,78,12.9969,24.0978,1696,march_rw_2011-03-02
0.0778,12,10.4861,31.1786,8010,EagleUP_1.565.350
0.0123,47,9.7431,16.675,1059,march_rw_2011-03-02
0.0056,108,17.7973,30.7338,2329,allfair
0.0667,12,6.3586,19.0566,1597,adaptg2wsat2011_2011-03-02
0.0875,10,9.5512,28.2083,7120,SAT09referencesolverTNM_2009-03-22
0.05,16,7.694,23.1972,2130,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,5209,526.333,82.9535,104311,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,25,10.6054,32.2858,3195,adaptg2wsat2011_2011-03-02
0.0056,109,16.3747,30.8261,2330,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,6405,672.8,83.0441,125173,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0286,29,13.1226,35.647,3727,EagleUP_1.565.350
0.0047,128,20.8034,33.1673,2745,allfair
0.0061,98,14.6963,28.4737,2122,march_rw_2011-03-02
0.0003,2070,171,52.647,41695,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0044,140,19.4684,35.7956,2960,adaptg2wsat2011_2011-03-02
0.1,8,4.7406,13.7794,1065,march_rw_2011-03-02
