@relation 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute cl_num_max numeric
@attribute cl_num_q90 numeric
@attribute cl_num_q75 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
3775,3775,3269,satime11
3906,3906,3853,gnoveltyp2
17,14,11,eagleup
3623,3244,2498,satime11
14,7,6,sparrow
4408,4408,4350,gnoveltyp2
4029,4029,4029,tnm
3676,3676,3571,satime11
4100,4100,4097,satime11
4117,4117,4052,eagleup
39,24,20,eagleup
1388,1346,1309,allfair
4068,4068,4039,eagleup
1270,1074,682,tnm
4033,4033,4033,allfair
4062,4062,3855,sparrow
4037,4037,4021,eagleup
3168,3168,3036,mphaseSATm
724,290,218,allfair
4584,4584,4512,gnoveltyp2
4348,4348,4321,allfair
4444,4444,4444,mphaseSATm
4520,4520,4421,mphaseSAT
151,98,87,allfair
3974,3974,3931,allfair
23,13,10,sparrow
2321,838,449,allfair
1767,1470,933,tnm
4534,4534,4460,allfair
4569,4569,4523,gnoveltyp2
23,18,12,eagleup
82,54,47,eagleup
3907,3907,3878,sparrow
37,22,20,allfair
12,6,5,sparrow
114,56,49,tnm
148,76,66,eagleup
4632,4632,4486,eagleup
4543,4543,4497,allfair
37,24,19,eagleup
4385,4385,4361,eagleup
4102,4102,4012,eagleup
4286,4286,4259,allfair
4579,4579,4471,allfair
75,48,44,satime11
4010,4010,3997,allfair
4539,4539,4501,allfair
4054,4054,3895,sparrow
1101,1096,949,tnm
7,6,4,sparrow
4052,4052,3987,sparrow
4505,4505,4498,eagleup
4519,4519,4409,eagleup
309,160,141,allfair
4613,4613,4542,sparrow
29,18,14,eagleup
4000,4000,3962,sparrow
4041,4041,4034,tnm
3984,3984,3953,eagleup
123,86,70,sparrow
57,42,37,sparrow
4445,4445,4376,eagleup
4042,4042,4037,gnoveltyp2
4546,4546,4486,sattime
4132,4132,4056,satime11
3932,3932,3865,satime11
4395,4395,4355,allfair
16,9,7,eagleup
187,112,95,gnoveltyp2
4034,4034,4016,allfair
4568,4568,4532,sparrow
4370,4370,4273,gnoveltyp2
3497,3212,2509,satime11
100,58,48,tnm
4343,4343,4273,allfair
3933,3933,3931,eagleup
4054,4054,3934,eagleup
37,27,21,sparrow
4443,4443,4345,sparrow
4137,4137,4104,gnoveltyp2
4014,4014,3936,allfair
3999,3999,3959,eagleup
352,161,151,allfair
1709,1134,784,gnoveltyp2
4060,4060,3938,sparrow
4056,4056,3946,tnm
2985,2341,2110,sattime
4381,4381,4381,sattime
82,50,42,sparrow
4161,4161,4161,allfair
9,6,5,sparrow
4090,4090,4025,eagleup
3540,3540,3450,sparrow
3421,3262,3023,tnm
3959,3959,3902,allfair
4031,4031,4010,allfair
4613,4613,4578,eagleup
4574,4574,4516,sparrow
379,182,162,sparrow
4520,4520,4489,allfair
4421,4421,4324,gnoveltyp2
4514,4514,4439,eagleup
3840,3840,3754,sparrow
15,9,7,sparrow
4523,4523,4379,eagleup
4332,4332,4179,tnm
25,16,12,eagleup
4372,4372,4336,allfair
3948,3948,3911,allfair
3976,3976,3907,allfair
4614,4614,4516,allfair
3727,3389,3226,tnm
28,15,12,sparrow
34,18,14,sparrow
4450,4450,4307,gnoveltyp2
43,26,21,eagleup
322,137,118,sparrow
31,16,13,sparrow
13,8,7,sparrow
4037,4037,3943,satime11
4436,4436,4436,gnoveltyp2
2263,2056,906,allfair
3924,3924,3911,sparrow
4625,4625,4536,sparrow
4014,4014,3942,allfair
3757,3757,3733,gnoveltyp2
171,87,82,satime11
4122,4122,4107,eagleup
4541,4541,4534,allfair
4357,4357,4316,sattime
425,181,161,sparrow
2744,742,362,allfair
3826,3826,3723,allfair
4347,4347,4347,allfair
4311,4311,4297,sparrow
4570,4570,4516,gnoveltyp2
1237,868,732,sparrow
12,6,4,sparrow
4637,4637,4620,eagleup
4588,4588,4515,eagleup
2222,1682,1532,allfair
105,69,57,eagleup
4504,4504,4483,eagleup
4511,4511,4450,allfair
4308,4308,4244,mphaseSAT64
710,683,416,sattime
4428,4428,4280,allfair
3917,3917,3735,eagleup
4469,4469,4362,eagleup
4594,4594,4455,sparrow
4082,4082,4056,allfair
4475,4475,4472,gnoveltyp2
33,26,20,sparrow
3988,3988,3797,tnm
4538,4538,4447,allfair
217,116,100,sattime
4606,4606,4576,eagleup
4592,4592,4512,gnoveltyp2
3904,3904,3882,sattime
4000,4000,3964,eagleup
4546,4546,4449,eagleup
4365,4365,4365,tnm
1036,267,249,allfair
4063,4063,4036,eagleup
4530,4530,4520,allfair
147,94,80,tnm
4489,4489,4422,sparrow
3985,3985,3970,allfair
4640,4640,4499,sparrow
27,15,13,sparrow
120,73,64,gnoveltyp2
116,80,66,sparrow
1851,1547,1294,tnm
4423,4423,4398,sparrow
2546,1782,1280,allfair
21,14,12,sparrow
71,43,37,gnoveltyp2
4442,4442,4322,allfair
4106,4106,3939,tnm
83,49,41,sparrow
4395,4395,4286,sattimep
4458,4458,4350,eagleup
3999,3999,3931,allfair
4433,4433,4408,eagleup
2789,600,414,allfair
4397,4397,4283,allfair
9,7,5,sparrow
147,102,89,allfair
3949,3949,3911,tnm
78,49,43,satime11
4050,4050,4006,allfair
3988,3988,3981,allfair
4565,4565,4428,gnoveltyp2
4555,4555,4390,sattime
99,63,54,gnoveltyp2
3978,3978,3877,tnm
4368,4368,4305,sattime
4613,4613,4604,gnoveltyp2
134,78,65,tnm
86,58,48,gnoveltyp2
4292,4292,4263,sparrow
3995,3995,3983,allfair
28,15,12,eagleup
2605,1633,1284,tnm
35,17,13,sparrow
4387,4387,4350,satime11
68,41,35,sparrow
4039,4039,4023,satime11
4563,4563,4466,allfair
79,51,43,sparrow
1876,1532,1033,sattime
4085,4085,4072,sparrow
4011,4011,3949,sparrow
59,42,36,sparrow
3764,3764,3669,allfair
2432,709,411,allfair
4482,4482,4466,gnoveltyp2
86,52,47,tnm
4544,4544,4400,allfair
4416,4416,4307,allfair
4389,4389,4243,sattime
4354,4354,4275,sattime
142,71,61,sparrow
18,12,9,eagleup
26,16,13,eagleup
4304,4304,4304,eagleup
3927,3927,3892,sparrow
4444,4444,4288,mphaseSATm
27,16,13,eagleup
31,20,17,sparrow
3968,3968,3909,allfair
4590,4590,4524,sparrow
4147,4147,4040,sattime
3983,3983,3921,tnm
4017,4017,3952,sparrow
4573,4573,4502,gnoveltyp2
35,20,16,sparrow
4525,4525,4452,allfair
4522,4522,4512,eagleup
2778,2778,2769,allfair
4394,4394,4279,allfair
47,25,20,sparrow
3243,2580,1318,satime11
4608,4608,4524,sparrow
4412,4412,4322,allfair
4357,4357,4250,allfair
4563,4563,4544,eagleup
4105,4105,4031,satime11
26,16,12,sparrow
65,43,33,eagleup
4657,4657,4598,gnoveltyp2
782,343,270,allfair
4555,4555,4485,eagleup
4044,4044,3956,satime11
4514,4514,4504,allfair
21,14,12,sparrow
3929,3929,3905,allfair
3907,3907,3873,allfair
4352,4352,4331,sattime
401,187,164,tnm
4583,4583,4502,gnoveltyp2
4594,4594,4530,eagleup
4411,4411,4214,allfair
4319,4319,4270,sparrow
4086,4086,4049,eagleup
123,59,51,eagleup
34,24,20,allfair
28,15,12,eagleup
4083,4083,3965,allfair
4405,4405,4311,eagleup
3984,3984,3917,eagleup
89,62,50,eagleup
48,25,20,eagleup
10,8,6,sparrow
97,65,54,sparrow
4081,4081,4000,eagleup
4508,4508,4459,sparrow
4598,4598,4506,gnoveltyp2
159,85,76,eagleup
4509,4509,4509,allfair
4496,4496,4478,eagleup
63,40,32,sparrow
4605,4605,4479,tnm
211,105,95,gnoveltyp2
4108,4108,3976,allfair
4384,4384,4290,eagleup
4458,4458,4442,gnoveltyp2
4379,4379,4321,sattime
13,6,4,sparrow
1861,1369,1049,allfair
4359,4359,4286,sparrow
4391,4391,4336,allfair
4039,4039,4013,allfair
3974,3974,3974,allfair
17,7,5,sparrow
4417,4417,4307,allfair
3904,3904,3815,allfair
4387,4387,4387,satime11
143,85,78,eagleup
3992,3992,3992,allfair
3979,3979,3903,eagleup
4029,4029,3965,tnm
4017,4017,3948,gnoveltyp2
4436,4436,4436,sattime
4367,4367,4315,allfair
91,55,48,sparrow
3919,3919,3906,sparrow
4359,4359,4359,eagleup
4002,4002,3991,gnoveltyp2
4004,4004,3953,satime11
80,58,47,tnm
3915,3915,3907,allfair
1116,921,732,allfair
61,36,30,sparrow
258,142,118,eagleup
3944,3944,3862,sattimep
121,63,50,sparrow
3848,3848,3810,sattime
4319,4319,4319,eagleup
4055,4055,4055,sattime
141,77,65,sparrow
4454,4454,4392,allfair
4060,4060,3900,allfair
144,80,67,sparrow
4084,4084,4013,allfair
115,86,67,tnm
21,15,12,sparrow
3984,3984,3910,tnm
60,25,21,eagleup
4067,4067,3945,eagleup
4536,4536,4438,allfair
921,240,214,allfair
8,7,4,sparrow
4443,4443,4378,sattime
