@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute VCG_VAR_max numeric
@attribute HORNY_VAR_max numeric
@attribute VG_max numeric
@attribute cluster_coeff_mean numeric
@attribute cluster_coeff_min numeric
@attribute cl_num_q75 numeric
@attribute SP_unconstraint_mean numeric
@attribute saps_FirstLocalMinRatio_CoeffVariance numeric
@attribute lobjois_mean_depth_over_vars numeric
@attribute lobjois_log_num_nodes_over_vars numeric

@data
0.0019,0.0016,0.0022,0.1719,0.0186,0,0.033,0.2167,0.261,0.7094
0.0027,0.0013,0.0026,?,?,701,0.0334,0.3514,0.1073,0.365
0.0205,0.0098,0.0121,0.1838,0.0142,1360,0.071,0.1083,0.1285,0.643
0.0126,0.0062,0.0072,?,?,339,0.076,0.322,0.0276,0.1246
0.0001,0.0001,0.0002,?,?,3,0.001,0,0.5137,0.738
0.0021,0.0009,0.0022,?,?,109,0.0611,0,0.192,0.7353
0.0001,0.0001,0.0001,0.1438,0.027,75,0.0151,0,0.1311,0.661
0.0156,0.0078,0.0087,?,?,0,0.0176,0,0.5112,0.8041
0.0041,0.0015,0.0054,?,?,1469,0.1069,0.0547,0.0684,0.2614
0.0099,0.0038,0.0079,0.1642,0.0174,497,0.0346,0.0214,0.1864,0.5565
0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.175,0.2209
0.016,0.0072,0.0099,0.1876,0.0474,582,0.0178,0.0101,0.5127,0.9041
0.0162,0.0121,0.0129,?,?,0,0.0899,0,0.2102,0.6541
0.0065,0.0043,0.0053,?,?,0,0.0469,0,0.0691,0.0691
0.0005,0.0002,0.0002,0.2547,0.0887,310,0.0308,0.0785,0.0351,0.1129
0.0111,0.0056,0.0066,?,?,0,0.052,0,0.207,0.3654
?,?,?,?,?,?,?,?,?,?
0,0,0,?,?,0,0.0156,0,0.3005,0.7175
0.0079,0.0077,0.0052,?,?,0,0.0404,0,0.2753,0.5482
0.0036,0.0036,0.0021,?,?,1387,0,0.0705,0.775,0.9405
0.0018,0.0009,0.0013,?,?,368,0.0761,0.7326,0.0225,0.1213
0.0069,0.0035,0.0076,0.1395,0.0018,1039,0.0582,0.0652,0.2503,0.9103
0.0076,0.0038,0.0057,?,?,394,0.0782,0.0328,0.0299,0.1005
0.0007,0.0003,0.001,0.1739,0.0241,166,0.0616,0.2721,0.041,0.2261
0.0398,0.0095,0.0124,?,?,773,0.0474,1.0711,0.1457,0.5659
0.0017,0.0008,0.0012,?,?,0,0.033,0,0.0598,0.1381
0.0135,0.0068,0.0052,?,?,1240,0.0063,0.0042,0.5778,0.8129
0.0003,0.0002,0.0002,0.2543,0.034,1003,0.0417,0,0.0246,0.3611
0.0166,0.0084,0.0058,?,?,1964,0.0055,0.006,0.5424,0.8561
0.0033,0.0015,0.0018,?,?,340,0.0738,1.4142,0.0272,0.0817
0.0005,0.0002,0.0002,0.2765,0.1053,470,0.0312,0.0344,0.0331,0.0907
0.0005,0.0002,0.0002,0.2563,0.0887,280,0.0308,0.0513,0.0355,0.1059
0.0157,0.009,0.013,?,?,1111,0.0183,0.0461,0.2988,0.6542
0.0001,0.0001,0.0001,0.1616,0.0272,278,0.0155,0,0.1786,0.6764
0.0005,0.0002,0.0002,0.2765,0.1053,357,0.0312,0.0572,0.0337,0.0809
0.009,0.0036,0.0078,0.183,0.0094,3267,0.0429,0.0592,0.2281,0.7052
0.0428,0.0121,0.0148,?,?,237,0.0643,0,0.0508,0.431
0.0043,0.0018,0.0032,?,?,300,0.0785,0.1842,0.0472,0.1617
0.0005,0.0005,0.0006,?,?,0,0.0355,0,0.23,0.4021
0.019,0.0129,0.0526,0.1263,0,3825,0.0284,0.0077,0.6362,0.9316
0.0046,0.0035,0.0026,?,?,2594,0,0.0004,0.7991,0.9396
0.0031,0.0031,0.0018,?,?,3318,0,0.0948,0.7849,0.9287
0.006,0.0022,0.008,?,?,3189,0.0997,0.102,0.0981,0.3592
0.0101,0.0055,0.0066,?,?,301,0.0801,0.0221,0.0331,0.1571
0.0095,0.0092,0.0072,?,?,1760,0.0291,0.1487,0.2931,0.6961
0.0004,0.0004,0.0005,?,?,0,0.0353,0,0.2223,0.2498
0.0104,0.0048,0.0079,?,?,89,0.0576,0,0.1147,0.2788
0.0001,0.0001,0.0001,?,?,11,0.0183,0,0.0865,0.3142
0.0019,0.0016,0.0022,0.1725,0.0186,0,0.0329,0.0402,0.2509,0.6519
0.0001,0.0001,0.0001,0.1431,0.0276,50,0.0149,0,0.1244,0.536
0.0001,0.0001,0.0001,?,?,91,0.0199,0,0.2393,0.6177
0.0205,0.0177,0.0162,?,?,994,0.0307,0.0064,0.1015,0.5928
0.014,0.014,0.0097,?,?,0,0.1138,0,0.513,0.6609
0.016,0.007,0.0097,0.1873,0.0473,708,0.0176,0.0035,0.5131,0.8739
0.0052,0.0023,0.0059,0.1324,0.0019,876,0.0524,0.0094,0.1964,0.7711
0.014,0.0122,0.0104,0.2852,0.0215,3649,0.0488,0.0407,0.3542,0.9888
0.0003,0.0002,0.0002,?,?,75,0.0401,0,0.0716,0.1918
0.0045,0.0015,0.0062,?,?,0,0.1945,0,0.0938,0.2302
0.0043,0.0018,0.0032,?,?,317,0.0785,0.1831,0.048,0.1871
0.0039,0.0039,0.0022,?,?,4173,0,0.0641,0.7807,0.9512
0.0002,0.0001,0.0002,0.1499,0.0138,63,0.0197,0,0.3555,0.7275
0.0005,0.0002,0.0002,0.2546,0.0887,272,0.0308,0.0524,0.0362,0.1146
0.0247,0.0124,0.0167,?,?,0,0.0301,0,0.2992,0.5488
0.0201,0.0147,0.0139,0.2926,0.0052,1419,0.0385,0.018,0.1203,0.597
0.0056,0.0053,0.0044,?,?,0,0.1511,0.013,0.3629,0.9236
?,?,?,?,?,?,?,?,?,?
0.0222,0.0102,0.0199,?,?,3615,0.0181,0.0161,0.2474,0.9783
0.0118,0.0028,0.008,?,?,516,0.1218,0.0147,0.2048,0.5009
0.0165,0.0083,0.0089,?,?,0,0.057,0,0.3925,0.5129
0.0007,0.0007,0.0009,?,?,0,0.0355,0,0.1908,0.3698
0.007,0.0026,0.0071,?,?,460,0.0795,0.73,0.0381,0.1392
0.016,0.0075,0.0124,?,?,401,0.0821,0,0.2826,0.6303
0.0034,0.0017,0.005,?,?,0,0.0418,0,0.1464,0.2372
0.0007,0.0003,0.0005,?,?,185,0.0447,0,0.0746,0.1986
0.013,0.0014,0.0037,?,?,542,0.0833,0.0304,0.0382,0.1933
?,?,?,?,?,?,?,?,?,?
0.0222,0.0028,0.0167,?,?,90,0.2814,0,0.0513,0.5923
0.0002,0.0001,0.0002,0.1227,0.0135,89,0.0195,0,0.2558,0.5971
0.0034,0.0017,0.005,?,?,0,0.0418,0,0.3469,0.3469
0.0033,0.0033,0.0019,?,?,2355,0,0.1125,0.7973,0.9332
0.014,0.007,0.0752,0.0765,0.0087,4914,0.2033,0.1386,0.8359,0.9169
0.0626,0.0161,0.0236,?,?,424,0.0438,0.5668,0.1108,0.5086
0.0009,0.0005,0.0009,?,?,438,0.031,0,0.0784,0.1807
0.0018,0.0009,0.0019,?,?,391,0.0609,0,0.1756,0.5643
0.0011,0.0008,0.0021,?,?,0,0.0791,0,0.013,0.0357
0.0131,0.0087,0.0088,0.222,0.006,1160,0.0525,0.0176,0.0666,0.3246
0.0005,0.0002,0.0002,0.2768,0.1026,249,0.0312,0.0386,0.0339,0.0794
0.0231,0.0089,0.0363,?,?,666,0.093,0.1267,0.2859,0.479
0.0001,0.0001,0.0001,0.158,0.0269,0,0.0166,0,0.2307,0.613
0.017,0.0085,0.0126,0.213,0.0096,1981,0.0547,0.0358,0.1393,0.7471
0.0046,0.0022,0.0033,?,?,378,0.0708,0.0448,0.0445,0.3178
0.0005,0.0005,0.0007,?,?,0,0.1552,0,0.2819,0.5843
0.0021,0.001,0.002,?,?,0,0.0379,0,0.0192,0.0724
0.0119,0.0119,0.0083,?,?,0,0.1029,0,0.3954,0.4856
0.0028,0.0008,0.0017,?,?,1880,0.0504,0.2284,0.0681,0.5918
0.0056,0.0054,0.0022,?,?,0,0.1419,0.0421,0.3086,0.4507
0.014,0.0061,0.0074,?,?,256,0.0784,0.0685,0.0282,0.157
0.0226,0.0114,0.0128,?,?,328,0.0786,0.0124,0.0344,0.1901
0.0464,0.0114,0.0146,?,?,695,0.0474,0.929,0.1403,0.6009
0.0097,0.0091,0.0045,?,?,0,0.0391,0.0038,0.4042,0.7241
0.1557,0.1203,0.0746,?,?,1214,0.0438,0.0613,0.14,0.9162
0.0158,0.0158,0.011,?,?,0,0.1182,0,0.3602,0.6202
0.0035,0.001,0.0022,?,?,2272,0.0665,0.0471,0.0614,0.3871
0.0181,0.0078,0.01,?,?,849,0.0675,0.1987,0.0742,0.3084
0.0004,0.0002,0.0004,?,?,0,0.2008,0,0.1886,0.392
0.0205,0.0177,0.0162,?,?,1369,0.0307,0.4192,0.0946,0.586
0.0101,0.0055,0.016,?,?,0,0.0659,0,0.0868,0.1998
0.002,0.0013,0.0035,?,?,2753,0.0123,0.375,0.2845,0.3776
0.0005,0.0001,0.011,0.3574,0.0069,63,0.1929,0.0499,0.0208,0.0508
0.0019,0.0015,0.0021,0.1726,0.0193,0,0.033,0.2107,0.2158,0.6524
0.0006,0.0003,0.0006,?,?,339,0.0349,0,0.0323,0.0777
0.0046,0.0022,0.0033,?,?,378,0.0708,0.0174,0.0452,0.2412
0.0019,0.0016,0.0022,0.1725,0.0186,0,0.0329,0.2086,0.2448,0.6742
0.0007,0.0004,0.0006,?,?,644,0.0398,0,0.0371,0.1077
0.014,0.007,0.0472,0.135,0.0209,4858,0.1896,0.0114,0.7738,0.8655
0.0085,0.0055,0.0074,?,?,34,0.0578,0,0.1609,0.3439
0.0001,0,0.0001,?,?,3,0.0188,0,0.1518,0.5034
0.0534,0.0308,0.0415,?,?,764,0.035,0.7515,0.1778,0.871
0.001,0.0005,0.0007,?,?,743,0.0446,0,0.0977,0.2233
0.0132,0.0074,0.0105,?,?,18,0.069,0,0.2693,0.5484
?,?,?,?,?,?,?,?,?,?
0.0033,0.0009,0.0025,?,?,779,0.0399,0,0.0262,0.1162
0.0093,0.0035,0.0083,0.1857,0.0222,438,0.081,0.019,0.0985,0.3834
0.0166,0.0084,0.0064,?,?,2570,0.0055,0.0079,0.5161,0.8571
0.0275,0.0068,0.0096,?,?,433,0.0573,0.0753,0.0956,0.3552
0.0005,0.0002,0.0005,0.2521,0.0446,724,0.0618,0.0099,0.0374,0.1179
0.0345,0.0179,0.0392,?,?,78,0.0581,0.0436,0.3096,0.5518
0.0025,0.0019,0.0029,0.2662,0.0034,533,0.063,0.0019,0.1682,0.5493
0.0047,0.0023,0.0033,0.1636,0,1160,0.061,0.1768,0.1413,0.6516
0.0039,0.0014,0.0029,?,?,311,0.0669,0.0672,0.1394,0.3088
0.0018,0.0006,0.001,?,?,0,0.0655,0.0182,0.046,0.1333
0.0165,0.0083,0.0089,?,?,0,0.0571,0,0.6197,0.6538
0.0065,0.0043,0.0053,?,?,0,0.0465,0,0.1987,0.3965
0.0011,0.0007,0.0037,0.3655,0.0885,880,0.048,0.1173,0.102,0.5257
0.0033,0.0015,0.0018,?,?,311,0.0737,0.5571,0.0255,0.1061
?,?,?,?,?,?,?,?,?,?
0.0048,0.0027,0.0099,0.1834,0.0353,2482,0.0486,0.0202,0.4579,0.9922
0.0005,0.0002,0.0002,0.2546,0.0887,272,0.0308,0.0731,0.0361,0.0944
0.009,0.0068,0.008,?,?,1559,0.0484,0,0.0405,0.1464
0.0185,0.0183,0.0023,?,?,1125,0.0125,0,0.3373,0.7379
0.0169,0.0077,0.0129,0.143,0.0177,3332,0.0291,0.0492,0.325,0.9948
0.0185,0.0176,0.0178,?,?,0,0.0976,0,0.0238,0.1125
0.0011,0.0005,0.0011,?,?,977,0.0361,0,0.0254,0.1562
0.0028,0.0014,0.0019,?,?,245,0.075,0.5282,0.0303,0.136
0.0005,0.0002,0.0002,0.2765,0.1026,367,0.0312,0.0234,0.0326,0.0791
0.0001,0.0001,0.0001,?,?,11,0.0198,0,0.2493,0.6617
0.0083,0.0081,0.0055,?,?,0,0.0403,0,0.2911,0.5474
0.0018,0.0015,0.0021,0.1729,0.0184,0,0.033,0.1623,0.2472,0.6645
0.0007,0.0003,0.0028,?,?,3377,0.0022,0.0274,0.3926,0.532
0.017,0.0007,0.0012,?,?,498,0.2,0.094,0.0452,0.1442
0.0001,0.0001,0.0001,0.1372,0.0245,41,0.0137,0,0.2598,0.6913
0.002,0.0013,0.0013,?,?,0,0.0549,0,0.0417,0.1522
0.003,0.0027,0.0046,0.2643,0.0045,731,0.0632,0.0109,0.1691,0.6535
0.0018,0.0014,0.002,0.1737,0.0193,706,0.033,0.0045,0.2295,0.7086
0.024,0.0238,0.0167,?,?,1901,0.0733,0.1314,0.4026,0.7948
0.0056,0.0021,0.0055,?,?,278,0.0834,0.0099,0.0609,0.2563
0.0042,0.004,0.0119,?,?,1972,0.0623,0.0757,0.0741,0.4521
0.0005,0.0002,0.0002,0.2547,0.0887,316,0.0308,0.0411,0.0368,0.1043
0.0054,0.0052,0.0049,?,?,0,0.1518,0.0102,0.4026,0.9126
0.0067,0.0027,0.007,?,?,436,0.079,0.1819,0.0388,0.1502
0.0029,0.0012,0.0019,?,?,1819,0.0548,0.1979,0.0867,0.6946
0.003,0.0022,0.0066,0.1853,0.0416,1484,0.0443,0.1309,0.3997,0.9772
0.0064,0.0032,0.0029,?,?,383,0.1164,0,0.6532,0.8036
0.0181,0.0087,0.011,0.1897,0.0154,1485,0.0714,0.0141,0.1222,0.6418
?,?,?,?,?,?,?,?,?,?
0.0083,0.0017,0.0029,?,?,1491,0.0591,0.4601,0.0467,0.2374
0.0052,0.0015,0.005,?,?,0,0.0969,0,0.1966,0.5379
0.0005,0.0002,0.0002,0.2562,0.0887,275,0.0308,0.0221,0.0364,0.1123
0.0008,0.0003,0.0008,?,?,616,0.0338,0,0.0423,0.1204
0.0001,0.0001,0.0001,?,?,7,0.0196,0,0.1487,0.7229
0.0005,0.0002,0.0004,?,?,1227,0.0316,0,0.0544,0.5932
0.0156,0.0078,0.0087,?,?,0,0.0176,0,0.3751,0.3993
0.0101,0.0055,0.016,?,?,0,0.0659,0,0.3172,0.6386
0.0041,0.0017,0.0044,?,?,363,0.0609,0.5815,0.2121,0.816
0.0584,0.0131,0.019,?,?,203,0.0526,0.244,0.0721,0.3723
0.0292,0.0149,0.0308,?,?,46,0.0631,0,0.2801,0.6613
0.0005,0.0002,0.0002,0.2563,0.0887,286,0.0308,0.0267,0.0373,0.1206
0.0035,0.0012,0.0046,?,?,1172,0.1098,0.2087,0.0617,0.262
0.065,0.0338,0.0585,0.2456,0.0317,0,0.0566,0.0182,0.5752,0.979
0.0018,0.0009,0.0013,?,?,368,0.0761,0,0.0211,0.0945
0.0047,0.0023,0.0016,0.1929,0.0172,914,0.0685,0.2064,0.055,0.2666
0.0001,0,0.0001,?,?,42,0.0139,0,0.2147,0.6849
0.0171,0.0167,0.0125,?,?,3550,0.028,0.0158,0.4508,0.9062
0.0023,0.0011,0.0024,?,?,337,0.075,0.015,0.038,0.1714
0.0165,0.0083,0.0089,?,?,0,0.057,0,0.3944,0.4533
0.0083,0.0037,0.0064,0.1289,0.0088,1994,0.0267,0.123,0.2717,0.9985
?,?,?,?,?,?,?,?,?,?
0.0021,0.0008,0.0013,?,?,1102,0.037,0.0078,0.0731,0.6645
0.0047,0.0017,0.0063,?,?,1621,0.1044,0.0192,0.0762,0.3278
0.0007,0.0007,0.0008,?,?,0,0.1318,0,0.5727,0.6393
0.0009,0.0004,0.0008,?,?,0,0.031,0,0.0827,0.2211
0.0114,0.0058,0.0053,?,?,551,0.0061,0.0255,0.5891,0.8216
0.0018,0.001,0.0015,?,?,358,0.0758,0,0.0246,0.0894
0.0087,0.0038,0.0058,?,?,445,0.0671,0.0048,0.053,0.2498
0.0033,0.0033,0.0019,?,?,2355,0,0.0002,0.7793,0.9521
0.0069,0.004,0.0071,0.1547,0.0347,1061,0.0258,0.0363,0.2355,0.7274
0.0007,0.0004,0.0003,0.3006,0.0564,283,0.0312,0.0976,0.0277,0.084
0.0035,0.0009,0.0019,?,?,2149,0.0547,0.0274,0.0511,0.3992
0.0002,0.0002,0.0086,0.372,0.0045,147,0.0482,1.9678,0.0523,0.1468
0.0004,0.0004,0.0007,?,?,180,0.0974,0,0.6044,0.69
0.0084,0.0041,0.0051,?,?,0,0.044,0,0.4036,0.4036
0.0052,0.005,0.0072,0.2707,0.015,767,0.0486,0.0279,0.227,0.9893
0.0006,0.0003,0.0006,?,?,358,0.0349,0,0.039,0.2253
0.0001,0,0.0001,?,?,2,0.0186,0,0.2048,0.5008
0.0042,0.0042,0.0024,?,?,4079,0,0.06,0.7751,0.9458
0.0012,0.0003,0.0012,?,?,1541,0.0552,0.0383,0.0692,0.2194
0.0001,0.0001,0.0001,0.1635,0.0273,235,0.0166,0,0.199,0.7496
0.0168,0.0163,0.0079,?,?,1381,0.0247,0.108,0.2827,0.6684
0.0058,0.0029,0.0028,?,?,185,0.1166,0,0.6438,0.7807
0.0055,0.0028,0.0027,?,?,27,0.1139,0,0.6497,0.793
0.0306,0.0247,0.0285,0.2904,0.014,1614,0.043,0.024,0.2049,0.9517
0.0042,0.0042,0.0024,?,?,4079,0,0.0003,0.7814,0.9298
0.0007,0.0007,0.0007,?,?,54,0.0865,0,0.3512,0.7575
0.0042,0.004,0.0119,?,?,1972,0.0623,0.0535,0.0752,0.4932
0.0113,0.0055,0.0076,?,?,0,0.0567,0,0.2637,0.3692
0.0128,0.0065,0.0088,?,?,0,0.0599,0,0.252,0.372
0.0005,0.0005,0.0006,0.2371,0.0099,1554,0.0749,0.167,0.438,0.7365
0.0019,0.0016,0.0022,0.1724,0.0184,0,0.0329,0.2665,0.2354,0.6058
0.0019,0.0008,0.0014,?,?,615,0.0333,0.0122,0.0791,0.1886
0.0003,0.0003,0.0004,?,?,43,0.0015,0,0.4727,0.8495
0.0001,0,0.0001,?,?,0,0.0159,0,0.1165,0.3566
0.0187,0.0094,0.0103,?,?,0,0.0854,0,0.4283,0.6032
0.0062,0.006,0.0041,?,?,0,0.1603,0.0161,0.5317,0.7435
0.0205,0.0098,0.0121,0.1838,0.0142,1360,0.071,0.0888,0.1303,0.7282
0.0003,0.0002,0.0002,0.3005,0.0993,333,0.0313,0.0043,0.0308,0.0903
0.0066,0.0061,0.0039,?,?,0,0.151,0.0067,0.3745,0.6873
0.0043,0.0015,0.0057,?,?,2373,0.1061,0.0058,0.071,0.3225
0.016,0.0075,0.0124,?,?,401,0.0821,0,0.291,0.5687
0.0086,0.0041,0.0065,?,?,379,0.0786,0.0087,0.0319,0.1068
0.0047,0.0022,0.0028,?,?,454,0.0682,0.6579,0.0446,0.3104
0.0093,0.0035,0.0083,0.1857,0.0222,438,0.081,0.1152,0.1008,0.4337
0.0019,0.0015,0.0021,0.1726,0.0193,1076,0.0329,0.1767,0.2201,0.6294
0.0064,0.0055,0.0057,?,?,0,0.0391,0,0.0376,0.125
0.0061,0.0028,0.0064,?,?,441,0.0747,0.0781,0.0708,0.2863
0.0005,0.0005,0.0007,?,?,0,0.1565,0,0.5164,0.5749
0.0128,0.0069,0.0048,?,?,0,0.0546,0.062,0.0412,0.2251
0.0078,0.0033,0.004,?,?,403,0.0768,0,0.0168,0.0904
0.0156,0.0078,0.0087,?,?,0,0.0176,0,0.1554,0.2595
0.0002,0.0001,0.0002,0.1249,0.0137,21,0.0196,0,0.2969,0.672
0.0004,0.0002,0.0004,0.1522,0.0351,234,0.0234,0,0.0188,0.0985
0.0007,0.0002,0.0005,?,?,1295,0.0321,0,0.0661,0.6322
0.0002,0.0001,0.0002,0.1555,0.0264,348,0.0155,0,0.1516,0.6451
0.0081,0.0074,0.0061,?,?,0,0.1636,0.0259,0.3665,0.7065
0.0003,0.0003,0.0005,0.2255,0.009,647,0.0668,0.3124,0.3707,0.6766
0.0025,0.0013,0.0019,?,?,329,0.0546,0.3054,0.0754,0.1986
0.0039,0.002,0.0032,?,?,516,0.0767,0.2769,0.0678,0.3214
0.0096,0.0057,0.0105,?,?,0,0.0784,0,0.189,0.2919
0.0155,0.0078,0.0085,?,?,779,0.07,0.0575,0.069,0.3108
0.0139,0.007,0.008,?,?,255,0.0796,0.0519,0.0289,0.1656
0.0005,0.0002,0.0002,0.2764,0.1053,339,0.0312,0.3788,0.0323,0.0857
0.0001,0,0.0001,?,?,0,0.0196,0,0.2613,0.7809
0.1081,0.0267,0.0366,?,?,799,0.0489,0.0822,0.1809,0.73
0.0001,0.0001,0.0001,0.1459,0.0291,83,0.0149,0,0.169,0.6502
0.0015,0.0007,0.0011,?,?,297,0.0331,0,0.0227,0.0396
0.0014,0.0006,0.0011,?,?,545,0.0349,0.5701,0.0668,0.1706
0.0234,0.0149,0.0054,?,?,0,0.1636,0.0935,0.0724,0.2992
0.0005,0.0002,0.0002,0.2547,0.0887,281,0.0308,0.0042,0.0344,0.1011
0.0062,0.0061,0.0042,?,?,0,0.1567,0.0073,0.5066,0.7548
0.0208,0.001,0.0049,?,?,655,0.1946,0.1026,0.0589,0.1518
0.0021,0.0021,0.0012,?,?,2356,0,1.6333,0.7613,0.9269
0.0021,0.0008,0.0013,?,?,1102,0.037,0.0251,0.0754,0.6701
0.041,0.0187,0.0392,?,?,1919,0.0247,0.0061,0.3307,0.9329
?,?,?,?,?,?,?,?,?,?
0.0028,0.0002,0.0013,?,?,380,0.4528,0.2593,0.0153,0.047
?,?,?,?,?,?,?,?,?,?
0.0043,0.0011,0.0033,?,?,0,0.0968,0,0.1788,0.271
0.0018,0.0014,0.002,0.1737,0.0193,900,0.033,0.5774,0.242,0.6483
0.0187,0.0099,0.0071,0.2586,0.0102,0,0.0552,0.1573,0.0745,0.3207
0.005,0.0024,0.0035,0.1637,0,966,0.0612,0.0068,0.1421,0.6036
0.0115,0.0048,0.007,?,?,620,0.069,0.0113,0.0762,0.3792
0.0237,0.0091,0.0105,0.3248,0.1882,4291,0.0668,0.0597,0.3193,0.7208
0.0001,0.0001,0.0001,0.1489,0.0291,120,0.015,0,0.1911,0.7536
0.0428,0.0121,0.0148,?,?,237,0.0643,0,0.0484,0.15
0.0038,0.0013,0.0033,?,?,933,0.083,0.3412,0.0785,0.2904
0.0018,0.0009,0.0013,?,?,368,0.0761,0,0.0211,0.117
0.0165,0.0056,0.0123,?,?,793,0.0691,0.0458,0.1013,0.5574
0.0005,0.0002,0.0002,0.2768,0.1053,239,0.0312,0.3459,0.0362,0.099
0.0174,0.0173,0.001,?,?,836,0.1092,0,0.3398,0.5869
?,?,?,?,?,?,?,?,?,?
0.0043,0.0041,0.0121,?,?,1921,0.0619,0.0899,0.0737,0.4823
0.0105,0.0052,0.007,?,?,241,0.0796,0.1867,0.0302,0.1566
0.0038,0.0016,0.0024,?,?,316,0.0756,0.0057,0.0381,0.1707
0.043,0.0121,0.0149,?,?,523,0.0646,0,0.0468,0.1423
0.0001,0,0.0001,?,?,8,0.0186,0,0.1882,0.5855
0.0042,0.0042,0.0024,?,?,4079,0,0.0003,0.7775,0.9375
0.0001,0.0001,0.0001,0.1403,0.0274,0,0.0138,0,0.1962,0.6988
?,?,?,?,?,?,?,?,?,?
0.0095,0.0048,0.0036,?,?,798,0.0048,0.0151,0.563,0.8201
0.0065,0.0043,0.0054,?,?,0,0.0465,0,0.264,0.5044
0.0154,0.0077,0.0744,0.076,0.0096,4914,0.1946,0.002,0.8175,0.9043
0.0099,0.0038,0.0079,0.1642,0.0174,511,0.0346,0.0212,0.1877,0.6568
0.0029,0.0029,0.0017,?,?,3445,0,0.0501,0.772,0.9296
0.0001,0.0001,0.0001,0.1607,0.0273,235,0.0165,0,0.3111,0.6125
0.0148,0.0074,0.0112,?,?,68,0.2445,0.0082,0.1815,0.5729
0.0001,0.0001,0.0001,0.1505,0.0134,32,0.0192,0,0.292,0.7885
0.0019,0.0009,0.0029,0.1492,0.0077,0,0.0435,0.5162,0.1314,0.5059
0.0041,0.004,0.0118,?,?,2118,0.0625,0.0375,0.0749,0.4981
0.0002,0.0001,0.0002,0.1523,0.0264,747,0.0154,0,0.1554,0.6072
0.0065,0.0043,0.0053,?,?,0,0.0465,0,0.0017,0.0017
0.0007,0.0004,0.0003,0.3006,0.0559,355,0.0313,1.3977,0.0293,0.0852
0.0025,0.0011,0.0024,?,?,1287,0.0394,0.6501,0.0467,0.2018
0.0062,0.006,0.0041,?,?,0,0.1603,0.0153,0.3943,0.7549
0.0005,0.0002,0.0002,0.2547,0.0887,316,0.0308,0.0375,0.0353,0.0927
0.0062,0.0059,0.0062,?,?,0,0.1096,0,0.3849,0.5064
0.0027,0.0027,0.0016,?,?,3814,0,0.0287,0.7906,0.9409
0.0032,0.0011,0.0042,?,?,871,0.1109,0.0291,0.0553,0.3127
0.0023,0.0023,0.0013,?,?,1852,0,0.2404,0.7788,0.9389
0.0083,0.0041,0.0056,0.1654,0,0,0.0636,0.0856,0.1686,0.5824
0.0036,0.0036,0.0021,?,?,1387,0,0.0702,0.7859,0.9359
0.0113,0.0055,0.0076,?,?,0,0.0567,0,0.3835,0.5729
0.0001,0.0001,0.0001,0.1548,0.0279,112,0.0152,0,0.187,0.7611
0.0071,0.0027,0.0053,?,?,838,0.0525,0.0216,0.2012,0.4378
0.0047,0.0017,0.0038,0.1615,0.0082,733,0.0339,0.0122,0.1142,0.3601
0.0199,0.0099,0.0171,?,?,0,0.0924,0,0.4072,0.5949
0.015,0.008,0.0149,?,?,0,0.0877,0,0.245,0.5828
0.0029,0.001,0.0014,0.3086,0.0105,494,0.0636,0.1982,0.0539,0.3258
0.0005,0.0002,0.0002,0.2768,0.1026,268,0.0312,0.0653,0.0328,0.0841
0.0002,0.0001,0.0005,?,?,0,0.3707,0,0.1359,0.1976
0.0028,0.0002,0.0013,?,?,380,0.4528,0.4427,0.0152,0.0406
0.0001,0.0001,0.0001,?,?,3,0.02,0,0.1325,0.397
0.002,0.0016,0.0023,0.1723,0.0186,0,0.0331,0.1595,0.2879,0.717
0.0001,0,0.0001,?,?,231,0.0159,0,0.2001,0.7733
0.0027,0.0025,0.0025,0.2881,0.0033,697,0.0434,0,0.0462,0.1908
0.0083,0.0042,0.0033,?,?,623,0.0091,0.0097,0.5751,0.8391
0.0015,0.0014,0.002,?,?,0,0.0102,0,0.6001,0.9392
0.0166,0.0084,0.0064,?,?,2570,0.0055,0.0105,0.5134,0.7584
0.0091,0.0047,0.005,?,?,82,0.0772,0.1821,0.0797,0.2121
0.0119,0.0119,0.0083,?,?,0,0.1029,0,0.4665,0.5816
0.0001,0.0001,0.0001,0.1401,0.0245,33,0.0138,0,0.2012,0.7377
0.0094,0.0088,0.0043,?,?,0,0.0391,0.0031,0.3983,0.8655
0.0001,0.0001,0.0001,0.1608,0.029,392,0.0168,0,0.2103,0.7374
0.0042,0.0018,0.0043,?,?,386,0.0777,0.5447,0.029,0.0939
0.0018,0.0015,0.0021,0.1727,0.0192,0,0.0329,0.0282,0.2205,0.6541
0.0101,0.0044,0.006,?,?,699,0.0675,0.2551,0.0613,0.3031
0.1557,0.1203,0.0746,?,?,1309,0.0438,0.0815,0.1408,0.9326
0.0008,0.0003,0.0007,?,?,457,0.0366,0,0.0385,0.1274
0.0001,0.0001,0.0001,0.1461,0.0215,25,0.0138,0,0.2777,0.7272
0.0041,0.0018,0.0032,?,?,1240,0.0255,0.0093,0.2561,0.819
0.0001,0.0001,0.0001,0.1485,0.0261,299,0.0149,0,0.1593,0.4458
0.0065,0.0043,0.0053,?,?,0,0.0465,0,0.0269,0.0269
