@relation 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute stats_tightness_100 numeric
@attribute normalised_standard_deviation_of_node_degree numeric
@attribute clustering_coefficient numeric
@attribute normalised_maximum_degree numeric
@attribute algorithm {standard,learning,allfair}

@data
866,0.004646,0.360615,0.095238,allfair
881,0.004364,0.358643,0.095238,standard
873,0.004224,0.364471,0.095238,allfair
891,0.005224,0.362301,0.095238,standard
777,0.003606,0.359778,0.095238,allfair
777,0.004113,0.357629,0.095238,allfair
872,0.004958,0.366673,0.095238,allfair
877,0.003919,0.358245,0.095238,allfair
877,0.004862,0.360658,0.095238,allfair
868,0.00455,0.357865,0.095238,allfair
891,0.004462,0.364477,0.095238,allfair
881,0.004469,0.360971,0.095238,standard
878,0.005017,0.360439,0.095238,standard
878,0.004785,0.36658,0.095238,allfair
871,0.003973,0.357791,0.095238,standard
886,0.003817,0.361926,0.095238,allfair
885,0.004423,0.361667,0.095238,standard
777,0.004505,0.359912,0.095238,allfair
881,0.003869,0.356338,0.095238,standard
873,0.004215,0.359821,0.095238,allfair
871,0.004821,0.360976,0.095238,allfair
880,0.004216,0.360963,0.095238,allfair
776,0.004418,0.358749,0.095238,allfair
885,0.004649,0.359549,0.095238,allfair
885,0.004838,0.362131,0.095238,allfair
880,0.003917,0.355897,0.095238,allfair
891,0.004126,0.354699,0.095238,standard
876,0.004053,0.358826,0.095238,allfair
878,0.004432,0.359403,0.095238,allfair
872,0.004111,0.361075,0.095238,allfair
882,0.004561,0.360874,0.095238,allfair
878,0.004614,0.356532,0.095238,allfair
777,0.004519,0.361643,0.095238,allfair
877,0.004182,0.359932,0.095238,allfair
892,0.004622,0.363859,0.095238,standard
877,0.004063,0.357065,0.095238,allfair
777,0.004877,0.364361,0.095238,allfair
891,0.004946,0.359728,0.095238,allfair
777,0.004287,0.360196,0.095238,allfair
878,0.004366,0.360196,0.095238,standard
641,0.080154,0.457899,0.633333,standard
696,0.081982,0.492973,0.666667,standard
680,0.084503,0.480694,0.666667,standard
777,0.078756,0.463261,0.6,standard
689,0.084765,0.465179,0.666667,standard
758,0.080083,0.446297,0.542857,standard
592,0.078512,0.43269,0.571429,standard
700,0.098691,0.45642,0.657143,standard
661,0.095737,0.453557,0.628571,standard
666,0.088841,0.477564,0.6,standard
712,0.096655,0.441404,0.625,standard
672,0.078651,0.422295,0.55,standard
717,0.062199,0.392925,0.475,standard
630,0.07293,0.411315,0.6,standard
592,0.070312,0.415072,0.575,standard
610,0.067342,0.392164,0.555556,standard
745,0.059115,0.37282,0.488889,standard
781,0.067468,0.361947,0.533333,standard
699,0.07678,0.387177,0.577778,standard
704,0.065922,0.384216,0.533333,standard
707,0.064746,0.345028,0.48,allfair
605,0.063875,0.36137,0.54,allfair
677,0.054635,0.362024,0.48,allfair
708,0.058515,0.364313,0.46,standard
716,0.060879,0.346653,0.46,allfair
644,0.063995,0.349086,0.471698,allfair
696,0.0537,0.33564,0.490566,allfair
608,0.057854,0.330409,0.490566,allfair
620,0.06027,0.349377,0.45283,allfair
702,0.054236,0.338367,0.490566,allfair
702,0.062588,0.33136,0.482143,allfair
692,0.067261,0.333414,0.464286,allfair
638,0.057494,0.331678,0.464286,allfair
687,0.059441,0.342764,0.482143,allfair
592,0.059198,0.328776,0.446429,allfair
749,0.062163,0.326831,0.491525,allfair
688,0.058798,0.324909,0.491525,allfair
659,0.056025,0.319308,0.457627,allfair
610,0.062988,0.330462,0.457627,allfair
685,0.05778,0.314706,0.40678,allfair
310,0.085514,0.703018,0.5,standard
334,0.107313,0.721398,0.6,standard
314,0.125498,0.743954,0.56,standard
322,0.134521,0.744246,0.72,standard
326,0.108491,0.725357,0.52,standard
331,0.14398,0.735688,0.58,standard
333,0.121999,0.709931,0.6,standard
319,0.117055,0.742889,0.54,standard
308,0.117983,0.732271,0.56,standard
322,0.123389,0.738699,0.56,standard
326,0.123861,0.767617,0.64,standard
339,0.126088,0.734759,0.6,standard
329,0.122261,0.715444,0.56,standard
318,0.086315,0.716409,0.5,standard
321,0.113982,0.733403,0.58,standard
336,0.101616,0.711663,0.56,standard
322,0.076424,0.729381,0.44,standard
335,0.095079,0.726647,0.48,standard
346,0.078277,0.713289,0.5,standard
334,0.10315,0.722969,0.52,standard
331,0.128015,0.722702,0.56,standard
311,0.128459,0.715492,0.54,standard
328,0.119248,0.739785,0.66,standard
344,0.105221,0.720435,0.52,standard
333,0.065585,0.719254,0.46,standard
325,0.107239,0.743769,0.58,standard
329,0.100651,0.740892,0.56,standard
322,0.097721,0.736708,0.54,standard
330,0.119843,0.708048,0.58,standard
322,0.065012,0.782946,0.42,standard
335,0.085693,0.723658,0.48,standard
319,0.111114,0.731877,0.6,standard
333,0.073055,0.725471,0.4,standard
319,0.102181,0.721273,0.54,standard
322,0.086055,0.72648,0.48,standard
332,0.143864,0.753536,0.6,standard
336,0.092679,0.742324,0.52,standard
326,0.09148,0.764625,0.5,standard
349,0.104525,0.710624,0.52,standard
322,0.118727,0.705513,0.52,standard
321,0.107364,0.720008,0.54,standard
324,0.094441,0.710433,0.46,standard
322,0.089643,0.711691,0.56,standard
333,0.095833,0.730458,0.52,standard
316,0.096336,0.73188,0.52,standard
332,0.104601,0.73372,0.52,standard
334,0.112245,0.712315,0.62,standard
328,0.150702,0.732681,0.62,standard
318,0.114624,0.732785,0.6,standard
319,0.085999,0.709891,0.5,standard
324,0.12512,0.740533,0.6,standard
341,0.109469,0.727303,0.6,standard
331,0.165795,0.784131,0.76,standard
329,0.098351,0.740273,0.6,standard
329,0.087924,0.721165,0.48,standard
333,0.107036,0.773898,0.52,standard
322,0.128872,0.736031,0.6,standard
318,0.110391,0.717022,0.48,standard
347,0.121487,0.730784,0.64,standard
322,0.12881,0.738573,0.58,standard
330,0.081894,0.737374,0.46,standard
324,0.118603,0.732667,0.54,standard
312,0.090382,0.706112,0.5,standard
321,0.115186,0.722925,0.6,standard
320,0.106283,0.746455,0.56,standard
321,0.103988,0.697364,0.46,standard
330,0.09583,0.737024,0.54,standard
325,0.141927,0.725403,0.62,standard
334,0.10024,0.70418,0.5,standard
317,0.087229,0.745115,0.5,standard
318,0.1198,0.720514,0.62,standard
323,0.113648,0.703782,0.56,allfair
313,0.10646,0.72179,0.64,standard
328,0.064992,0.718833,0.44,standard
335,0.097616,0.739198,0.56,standard
336,0.088926,0.739819,0.46,standard
326,0.093504,0.75498,0.5,standard
329,0.132988,0.763665,0.62,standard
327,0.096926,0.726596,0.52,standard
332,0.100476,0.692155,0.54,standard
320,0.096485,0.716305,0.5,standard
326,0.128125,0.720739,0.58,standard
328,0.076779,0.750601,0.46,standard
332,0.118459,0.751514,0.56,standard
330,0.138145,0.716218,0.6,standard
349,0.125524,0.715722,0.56,standard
318,0.070921,0.714528,0.42,standard
338,0.121091,0.723965,0.58,standard
339,0.10997,0.749512,0.6,standard
345,0.135762,0.736069,0.66,standard
312,0.081976,0.704083,0.46,standard
330,0.097255,0.753129,0.52,standard
323,0.099618,0.713855,0.52,standard
319,0.124859,0.736841,0.6,standard
320,0.099177,0.71949,0.54,standard
321,0.128832,0.756041,0.56,standard
315,0.118081,0.724776,0.52,standard
316,0.086241,0.701954,0.52,standard
337,0.091596,0.713841,0.52,standard
319,0.121059,0.716383,0.66,standard
324,0.071285,0.662513,0.333333,standard
263,0.071285,0.662513,0.333333,standard
184,0.071285,0.662513,0.333333,standard
169,0.071285,0.662513,0.333333,standard
513,0.034821,0.569167,0.15,standard
324,0.034821,0.569167,0.15,standard
263,0.034821,0.569167,0.15,standard
184,0.034821,0.569167,0.15,standard
169,0.034821,0.569167,0.15,standard
900,0.078567,0,0.333333,standard
968,0.024995,0,0.142857,standard
986,0.008315,0,0.066667,standard
998,0.00285,0,0.032258,standard
1000,0.000992,0,0.015873,standard
260,0,0.454545,0.261905,standard
260,0,0.461538,0.232143,standard
260,0,0.466667,0.208333,standard
260,0,0.470588,0.188889,standard
260,0,0.473684,0.172727,standard
260,0.037266,0.888071,0.96,allfair
510,0.058,0.866534,0.96,standard
510,0.052587,0.873993,0.96,standard
260,0.054148,0.863249,0.95,allfair
513,0.053126,0.867362,0.99,standard
260,0.054314,0.871497,0.95,allfair
510,0.052494,0.863382,0.98,standard
497,0.052096,0.87498,0.96,standard
513,0.05091,0.862041,0.98,allfair
510,0.051928,0.871799,0.99,standard
513,0.053653,0.867678,0.95,allfair
510,0.051732,0.865456,0.98,standard
497,0.055254,0.872802,0.95,standard
513,0.051301,0.862944,0.98,allfair
510,0.053594,0.867554,0.98,allfair
513,0.050822,0.868121,0.96,allfair
510,0.056661,0.860347,0.97,allfair
497,0.054404,0.873231,0.96,allfair
260,0.055182,0.860595,0.97,allfair
260,0.040925,0.87476,0.95,standard
510,0.05999,0.850174,0.96,standard
510,0.056087,0.85704,0.97,allfair
260,0.058265,0.849111,0.94,allfair
513,0.057044,0.850043,0.96,standard
497,0.058934,0.85743,0.95,allfair
260,0.05586,0.84949,0.97,standard
510,0.05693,0.852951,0.99,allfair
260,0.060413,0.851972,0.95,standard
513,0.054214,0.865731,0.99,allfair
510,0.057471,0.849151,0.95,standard
510,0.059683,0.856507,0.95,allfair
260,0.058277,0.851695,0.97,standard
510,0.057117,0.848091,0.99,standard
497,0.060099,0.854652,0.95,allfair
260,0.055564,0.844107,0.95,allfair
510,0.058447,0.852705,0.99,allfair
260,0.058198,0.855555,0.96,standard
510,0.057931,0.845251,0.97,standard
497,0.058737,0.853379,0.94,standard
260,0.056982,0.849028,0.95,allfair
260,0.035749,0.899903,0.96,standard
510,0.049295,0.880358,0.99,standard
497,0.050347,0.888256,0.96,allfair
260,0.050794,0.880818,0.97,standard
510,0.046206,0.886619,0.97,allfair
513,0.050265,0.88135,0.97,allfair
510,0.047981,0.879273,0.99,standard
260,0.04998,0.884048,0.96,allfair
510,0.048777,0.879851,0.98,standard
497,0.053042,0.885053,0.96,standard
870,0,1,0.95,standard
881,0,1,0.954545,standard
876,0,1,0.958333,standard
884,0,1,0.961538,standard
892,0,1,0.964286,standard
879,0,1,0.966667,standard
871,0,1,0.96875,standard
872,0,1,0.970588,allfair
884,0,1,0.972222,allfair
880,0,1,0.973684,standard
865,0,1,0.975,standard
894,0,1,0.97619,allfair
884,0,1,0.98,allfair
925,0,1,0.75,standard
874,0,1,0.983333,allfair
919,0,1,0.833333,standard
868,0,1,0.9875,standard
955,0,1,0.875,standard
899,0,1,0.875,standard
883,0,1,0.99,allfair
895,0,1,0.9,standard
885,0,1,0.916667,standard
907,0,1,0.928571,standard
888,0,1,0.9375,standard
892,0,1,0.944444,standard
987,0,1,0.969697,standard
979,0,1,0.962963,standard
531,0,1,0.987952,standard
521,0,1,0.9875,standard
515,0,1,0.9875,standard
516,0,1,0.988095,standard
999,0,0.408403,0.35,allfair
1000,0,0.384615,0.330579,allfair
1000,0,0.379845,0.298611,allfair
784,0,1,0.888889,standard
892,0,0.709091,0.6875,standard
966,0,0.6,0.64,standard
987,0,0.532164,0.527778,standard
995,0,0.478261,0.489796,standard
998,0,0.452991,0.421875,standard
996,0,0.419355,0.395062,allfair
513,0.011917,0.1336,0.093333,standard
324,0.011917,0.1336,0.093333,standard
263,0.011917,0.1336,0.093333,standard
184,0.011917,0.1336,0.093333,allfair
96,0.004737,0.996543,0.99,standard
96,0.039284,0.96835,0.916667,standard
96,0.029481,0.980464,0.933333,standard
96,0.024495,0.978122,0.95,standard
96,0.015713,0.988262,0.966667,standard
96,0.0096,0.992549,0.98,standard
1000,0,1,0.99,allfair
1000,0,1,0.991736,allfair
1000,0,1,0.993056,allfair
1000,0,1,0.994083,allfair
1000,0,1,0.994898,allfair
1000,0,1,0.995556,allfair
1000,0,1,0.996094,allfair
1000,0,1,0.99654,allfair
1000,0,1,0.996914,allfair
1000,0,1,0.99723,allfair
996,0,1,0.888889,standard
1000,0,1,0.9375,standard
1000,0,1,0.96,standard
1000,0,1,0.972222,allfair
1000,0,1,0.979592,allfair
1000,0,1,0.984375,allfair
1000,0,1,0.987654,allfair
324,0.004665,0.371667,0.04,allfair
263,0.004665,0.371667,0.04,standard
324,0.004665,0.37,0.04,allfair
263,0.004665,0.37,0.04,standard
324,0.005293,0.348485,0.045455,allfair
263,0.005293,0.348485,0.045455,standard
324,0.005293,0.367424,0.045455,allfair
263,0.005293,0.367424,0.045455,standard
324,0.058439,0,0.454545,standard
263,0.058439,0,0.454545,standard
263,0.083732,0,0.478261,standard
184,0.083732,0,0.478261,standard
263,0.093411,0,0.489362,standard
184,0.093411,0,0.489362,standard
169,0.093411,0,0.489362,standard
324,0.093411,0,0.489362,standard
263,0.093411,0,0.489362,standard
184,0.093411,0,0.489362,standard
169,0.093411,0,0.489362,standard
263,0.093085,0,0.494737,standard
184,0.093085,0,0.494737,standard
169,0.093085,0,0.494737,allfair
154,0.093085,0,0.494737,standard
263,0.086925,0,0.497382,standard
184,0.086925,0,0.497382,standard
169,0.086925,0,0.497382,allfair
154,0.086925,0,0.497382,allfair
136,0.086925,0,0.497382,standard
500,0,1,0.99,standard
506,0,1,0.99,standard
492,0,1,0.99,standard
513,0,1,0.990909,allfair
506,0,1,0.990909,standard
515,0,1,0.990909,standard
504,0,1,0.991667,allfair
506,0,1,0.991667,allfair
505,0,1,0.991667,standard
516,0,1,0.98,standard
506,0,1,0.98,standard
494,0,1,0.98,standard
501,0,1,0.983333,standard
506,0,1,0.983333,standard
520,0,1,0.983333,standard
500,0,1,0.985714,standard
506,0,1,0.985714,standard
492,0,1,0.985714,standard
521,0,1,0.9875,standard
506,0,1,0.9875,standard
492,0,1,0.9875,standard
500,0,1,0.988889,standard
506,0,1,0.988889,standard
493,0,1,0.988889,standard
513,0,1,0.990909,allfair
506,0,1,0.990909,standard
515,0,1,0.990909,standard
513,0,1,0.991736,allfair
503,0,1,0.991736,allfair
515,0,1,0.991736,standard
513,0,1,0.992424,allfair
503,0,1,0.992424,standard
515,0,1,0.992424,standard
516,0,1,0.981818,standard
503,0,1,0.981818,standard
515,0,1,0.981818,standard
513,0,1,0.984848,standard
503,0,1,0.984848,standard
520,0,1,0.984848,standard
513,0,1,0.987013,standard
503,0,1,0.987013,standard
515,0,1,0.987013,standard
521,0,1,0.988636,allfair
503,0,1,0.988636,standard
515,0,1,0.988636,standard
513,0,1,0.989899,standard
505,0,1,0.989899,standard
515,0,1,0.989899,standard
504,0,1,0.991667,allfair
506,0,1,0.991667,allfair
505,0,1,0.991667,standard
513,0,1,0.992424,allfair
503,0,1,0.992424,standard
515,0,1,0.992424,standard
504,0,1,0.993056,allfair
491,0,1,0.993056,standard
505,0,1,0.993056,standard
516,0,1,0.983333,standard
494,0,1,0.983333,standard
505,0,1,0.983333,standard
504,0,1,0.986111,standard
491,0,1,0.986111,standard
520,0,1,0.986111,standard
504,0,1,0.988095,standard
491,0,1,0.988095,standard
505,0,1,0.988095,standard
521,0,1,0.989583,standard
492,0,1,0.989583,allfair
505,0,1,0.989583,standard
504,0,1,0.990741,standard
505,0,1,0.990741,standard
505,0,1,0.990741,standard
516,0,1,0.98,standard
506,0,1,0.98,standard
494,0,1,0.98,standard
516,0,1,0.981818,standard
503,0,1,0.981818,standard
515,0,1,0.981818,standard
516,0,1,0.983333,standard
494,0,1,0.983333,standard
505,0,1,0.983333,standard
516,0,1,0.96,standard
494,0,1,0.96,standard
494,0,1,0.96,standard
516,0,1,0.966667,standard
494,0,1,0.966667,standard
520,0,1,0.966667,standard
516,0,1,0.971429,standard
494,0,1,0.971429,standard
494,0,1,0.971429,standard
521,0,1,0.975,standard
494,0,1,0.975,standard
494,0,1,0.975,standard
516,0,1,0.977778,standard
505,0,1,0.977778,standard
494,0,1,0.977778,standard
501,0,1,0.983333,standard
506,0,1,0.983333,standard
520,0,1,0.983333,standard
513,0,1,0.984848,standard
503,0,1,0.984848,standard
520,0,1,0.984848,standard
504,0,1,0.986111,standard
491,0,1,0.986111,standard
520,0,1,0.986111,standard
516,0,1,0.966667,standard
494,0,1,0.966667,standard
520,0,1,0.966667,standard
501,0,1,0.972222,standard
476,0,1,0.972222,allfair
520,0,1,0.972222,standard
501,0,1,0.97619,standard
491,0,1,0.97619,standard
520,0,1,0.97619,standard
521,0,1,0.979167,standard
492,0,1,0.979167,standard
520,0,1,0.979167,standard
501,0,1,0.981481,standard
505,0,1,0.981481,standard
520,0,1,0.981481,standard
500,0,1,0.985714,allfair
506,0,1,0.985714,standard
492,0,1,0.985714,standard
513,0,1,0.987013,allfair
503,0,1,0.987013,standard
515,0,1,0.987013,standard
504,0,1,0.988095,standard
491,0,1,0.988095,standard
505,0,1,0.988095,standard
516,0,1,0.971429,standard
494,0,1,0.971429,standard
494,0,1,0.971429,standard
501,0,1,0.97619,standard
491,0,1,0.97619,standard
520,0,1,0.97619,standard
491,0,1,0.979592,standard
491,0,1,0.979592,standard
475,0,1,0.979592,standard
521,0,1,0.982143,standard
492,0,1,0.982143,standard
477,0,1,0.982143,standard
498,0,1,0.984127,standard
505,0,1,0.984127,standard
493,0,1,0.984127,standard
521,0,1,0.9875,allfair
506,0,1,0.9875,standard
492,0,1,0.9875,standard
521,0,1,0.988636,allfair
503,0,1,0.988636,standard
515,0,1,0.988636,standard
521,0,1,0.989583,standard
492,0,1,0.989583,standard
505,0,1,0.989583,standard
521,0,1,0.975,standard
494,0,1,0.975,standard
494,0,1,0.975,standard
521,0,1,0.979167,standard
492,0,1,0.979167,standard
520,0,1,0.979167,standard
521,0,1,0.982143,standard
492,0,1,0.982143,standard
477,0,1,0.982143,standard
521,0,1,0.984375,standard
492,0,1,0.984375,standard
477,0,1,0.984375,standard
521,0,1,0.986111,allfair
505,0,1,0.986111,standard
493,0,1,0.986111,standard
500,0,1,0.988889,standard
506,0,1,0.988889,standard
493,0,1,0.988889,standard
513,0,1,0.989899,standard
505,0,1,0.989899,standard
515,0,1,0.989899,standard
504,0,1,0.990741,standard
505,0,1,0.990741,standard
505,0,1,0.990741,standard
516,0,1,0.977778,standard
505,0,1,0.977778,standard
494,0,1,0.977778,standard
501,0,1,0.981481,standard
505,0,1,0.981481,standard
520,0,1,0.981481,standard
498,0,1,0.984127,standard
505,0,1,0.984127,standard
493,0,1,0.984127,standard
521,0,1,0.986111,allfair
505,0,1,0.986111,standard
493,0,1,0.986111,standard
498,0,1,0.987654,allfair
505,0,1,0.987654,standard
493,0,1,0.987654,standard
1000,0.127279,0.576404,0.336667,allfair
1000,0.136882,0.60792,0.334815,allfair
1000,0.141814,0.623179,0.334167,allfair
892,0.039284,0.244444,0.416667,standard
1000,0.100566,0.476695,0.346667,standard
1000,0.109121,0.51042,0.342593,allfair
1000,0.115446,0.534317,0.340136,allfair
1000,0.120306,0.55203,0.338542,allfair
1000,0.124156,0.56564,0.337449,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,allfair
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,standard
572,0.009413,0.35461,0.060718,allfair
1000,0,1,0.9,allfair
96,0,1,0.9,standard
1000,0,1,0.909091,standard
104,0,1,0.909091,standard
1000,0,1,0.916667,standard
99,0,1,0.916667,standard
1000,0,1,0.923077,standard
97,0,1,0.923077,standard
1000,0,1,0.928571,standard
87,0,1,0.928571,allfair
1000,0,1,0.933333,standard
88,0,1,0.933333,allfair
72,0,1,0.9375,allfair
1000,0,1,0.944444,standard
55,0,1,0.944444,allfair
1000,0,1,0.95,allfair
56,0,1,0.95,allfair
1000,0,1,0.96,standard
50,0,1,0.96,allfair
1000,0,1,0.966667,standard
32,0,1,0.966667,allfair
1000,0,1,0.971429,standard
25,0,1,0.971429,allfair
1000,0,1,0.975,standard
29,0,1,0.975,allfair
1000,0,1,0.977778,standard
24,0,1,0.977778,allfair
1000,0,1,0.98,standard
24,0,1,0.98,allfair
1000,0,1,0.8,standard
263,0,1,0.8,standard
1000,0,1,0.833333,standard
184,0,1,0.833333,standard
1000,0,1,0.857143,standard
169,0,1,0.857143,standard
1000,0,1,0.875,standard
154,0,1,0.875,standard
1000,0,1,0.888889,standard
136,0,1,0.888889,standard
501,0,0.443333,0.026667,allfair
501,0,0.443333,0.026667,allfair
501,0,0.443333,0.026667,allfair
501,0,0.443333,0.026667,allfair
501,0,0.441667,0.066667,allfair
501,0,0.441667,0.066667,allfair
501,0,0.441667,0.066667,allfair
501,0,0.441667,0.066667,allfair
112,0.022553,0.433989,0.18,standard
112,0.022597,0.433919,0.18,standard
112,0.022553,0.433989,0.18,standard
112,0.022642,0.433849,0.18,standard
112,0.022642,0.433849,0.18,allfair
112,0.022642,0.433849,0.18,standard
112,0.022597,0.433919,0.18,standard
112,0.022642,0.433849,0.18,allfair
112,0.022597,0.433919,0.18,standard
112,0.022509,0.434059,0.18,standard
82,0.026673,0.415472,0.124444,allfair
82,0.026673,0.415472,0.124444,allfair
82,0.026607,0.415309,0.124444,allfair
82,0.026607,0.415309,0.124444,allfair
82,0.026673,0.415472,0.124444,standard
82,0.026673,0.415472,0.124444,allfair
82,0.026673,0.415472,0.124444,allfair
82,0.026607,0.415309,0.124444,allfair
82,0.026673,0.415472,0.124444,allfair
82,0.026673,0.415472,0.124444,allfair
63,0.02416,0.410731,0.095,allfair
63,0.024157,0.410762,0.095,allfair
63,0.024156,0.41077,0.095,allfair
63,0.02416,0.410731,0.095,allfair
63,0.024156,0.41077,0.095,allfair
63,0.02416,0.410723,0.095,allfair
63,0.024161,0.410715,0.095,allfair
63,0.024159,0.410739,0.095,allfair
63,0.02416,0.410731,0.095,allfair
63,0.024158,0.410746,0.095,allfair
57,0.021289,0.408911,0.0768,allfair
57,0.021287,0.408935,0.0768,allfair
57,0.021289,0.408903,0.0768,allfair
57,0.021288,0.408927,0.0768,allfair
57,0.021287,0.408935,0.0768,allfair
57,0.021288,0.408919,0.0768,allfair
57,0.021289,0.408903,0.0768,allfair
57,0.021287,0.408947,0.0768,allfair
57,0.021286,0.408955,0.0768,allfair
57,0.021288,0.408923,0.0768,allfair
989,0.001953,0.167538,0.0198,allfair
910,0.048929,0.179412,0.18,standard
987,0.001491,0.167387,0.016528,allfair
908,0.038958,0.176587,0.152778,standard
994,0.001071,0.167239,0.013244,allfair
934,0.029143,0.174074,0.124444,standard
953,0.019766,0.171847,0.095,standard
968,0.011223,0.169883,0.064444,standard
746,0.121031,0.225,0.375,allfair
985,0.005391,0.168488,0.0392,allfair
324,0.045255,0.503092,0.64,allfair
263,0.045255,0.503092,0.64,allfair
184,0.045255,0.503092,0.64,allfair
996,0.002713,0.167768,0.024688,allfair
877,0.063709,0.184295,0.21875,standard
112,0.033445,0.410636,0.18,allfair
112,0.033445,0.410636,0.18,allfair
112,0.033415,0.410737,0.18,allfair
112,0.033385,0.410838,0.18,standard
108,0.033445,0.410636,0.18,standard
112,0.033445,0.410636,0.18,standard
112,0.033355,0.410939,0.18,allfair
112,0.033415,0.410737,0.18,allfair
112,0.033475,0.410535,0.18,standard
112,0.033445,0.410636,0.18,allfair
82,0.030816,0.402776,0.124444,allfair
82,0.030816,0.402776,0.124444,allfair
82,0.030816,0.402776,0.124444,allfair
82,0.030816,0.402776,0.124444,standard
82,0.030816,0.402776,0.124444,allfair
82,0.030816,0.402776,0.124444,allfair
82,0.030819,0.402753,0.124444,standard
82,0.030819,0.402753,0.124444,allfair
82,0.030819,0.402753,0.124444,allfair
82,0.030819,0.402753,0.124444,allfair
63,0.026431,0.402331,0.095,allfair
63,0.026432,0.402321,0.095,allfair
63,0.026431,0.402341,0.095,allfair
63,0.026432,0.402321,0.095,allfair
63,0.026431,0.402331,0.095,allfair
63,0.026432,0.402321,0.095,allfair
63,0.026434,0.402291,0.095,allfair
63,0.026432,0.402321,0.095,allfair
63,0.026433,0.402311,0.095,allfair
63,0.02643,0.40235,0.095,allfair
57,0.022669,0.403146,0.0768,allfair
57,0.02267,0.403126,0.0768,allfair
57,0.02267,0.403126,0.0768,allfair
57,0.022671,0.403096,0.0768,allfair
57,0.022671,0.403106,0.0768,allfair
57,0.02267,0.403131,0.0768,allfair
57,0.02267,0.403131,0.0768,allfair
57,0.02267,0.403111,0.0768,allfair
57,0.02267,0.403116,0.0768,allfair
57,0.022669,0.403141,0.0768,allfair
628,0.082701,0.520038,0.7,standard
720,0.086381,0.484237,0.6,standard
776,0.076948,0.507448,0.7,standard
678,0.084736,0.50513,0.666667,allfair
770,0.08421,0.50127,0.633333,standard
678,0.096609,0.528961,0.666667,standard
719,0.071871,0.488779,0.666667,standard
650,0.061423,0.480902,0.633333,standard
586,0.089691,0.505011,0.666667,allfair
635,0.093386,0.50611,0.7,standard
719,0.104704,0.536827,0.733333,standard
627,0.092055,0.529737,0.7,standard
649,0.079784,0.524082,0.666667,standard
647,0.08421,0.527761,0.666667,standard
662,0.079536,0.515166,0.666667,standard
631,0.103256,0.530558,0.8,standard
678,0.092989,0.52586,0.666667,standard
698,0.073904,0.500586,0.7,standard
687,0.085519,0.515788,0.766667,standard
597,0.094255,0.524203,0.633333,standard
654,0.067987,0.513493,0.7,standard
608,0.078284,0.506128,0.6,standard
640,0.106017,0.534795,0.666667,standard
660,0.071457,0.495426,0.7,standard
654,0.086381,0.505177,0.666667,standard
686,0.082701,0.520038,0.7,allfair
678,0.086381,0.484237,0.6,standard
791,0.076948,0.507448,0.7,standard
676,0.084736,0.50513,0.666667,standard
697,0.08421,0.50127,0.633333,standard
755,0.071871,0.488779,0.666667,standard
655,0.061423,0.480902,0.633333,standard
584,0.089691,0.505011,0.666667,standard
594,0.093386,0.50611,0.7,standard
731,0.104704,0.536827,0.733333,standard
618,0.092055,0.529737,0.7,standard
661,0.079784,0.524082,0.666667,standard
629,0.08421,0.527761,0.666667,standard
706,0.079536,0.515166,0.666667,standard
646,0.103256,0.530558,0.8,standard
729,0.073904,0.500586,0.7,standard
673,0.085519,0.515788,0.766667,standard
559,0.094255,0.524203,0.633333,standard
645,0.067987,0.513493,0.7,standard
581,0.078284,0.506128,0.6,standard
291,0,1,0.956522,standard
288,0,1,0.956522,standard
292,0,1,0.956522,standard
292,0,1,0.956522,standard
284,0,1,0.956522,standard
291,0,1,0.956522,standard
286,0,1,0.956522,standard
283,0,1,0.956522,standard
291,0,1,0.956522,standard
291,0,1,0.956522,standard
321,0.078899,0.53484,0.675,standard
317,0.074204,0.523801,0.65,standard
311,0.078102,0.536258,0.725,standard
364,0.070312,0.532155,0.675,standard
319,0.084076,0.5334,0.675,standard
352,0.068966,0.531031,0.65,standard
314,0.075457,0.528203,0.675,standard
