@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute BINARYp numeric
@attribute vars_clauses_ratio numeric
@attribute SP_bias_q50 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
0.541,0.1378,0.6641,mphaseSAT
0.587,0.1643,0.6275,allfair
0.3255,0.1964,0.1413,allfair
0.5936,0.1707,0.6584,allfair
0.9264,0.0121,1,glucose2
0.0913,0.0685,0.2169,glucose2
0.5376,0.1489,0.6135,clasp1
0.6211,0.1742,0.6597,clasp2
0.5114,0.1664,0.5967,glucose2
0.9186,0.0434,0.9978,ebglucose
0.6614,0.2408,0.8535,mphaseSAT
0.5936,0.1707,0.6594,allfair
0.1436,0.1966,0.5521,mxc09
0.5815,0.1486,0.6625,qutersat
0.6632,0.1123,0.7539,qutersat
0.0826,0.172,0.0061,precosat
0.9575,0.0737,0.9218,mphaseSAT64
0.0616,0.1746,0.0145,cryptominisat2011
0.7903,0.044,0.5923,picosat
0.8284,0.074,0.8705,clasp2
0.243,0.1736,0.3841,allfair
0.3034,0.2074,0.3672,precosat
0.2299,0.156,0.7121,cryptominisat2011
0.3931,0.0065,0.6915,mphaseSATm
0.1971,0.0896,0.6051,clasp2
0.5987,0.176,0.7406,ebglucose
0.3917,0.0081,0.6928,mxc09
0.2305,0.1566,0.7088,glueminisat
0.0161,0.0065,0.5353,allfair
0.6356,0.0364,0.9987,clasp2
0.401,0.0718,0.6386,allfair
0.5497,0.1536,0.7021,lingeling
0.1608,0.1834,0.1588,cryptominisat2011
0.0173,0.0066,0.5837,allfair
0.8894,0.0402,0.9496,lrglshr
0.216,0.2382,0.2046,mphaseSATm
0.0097,0.013,0.1973,picosat
0.1234,0.1368,0.6203,glucose2
0.5256,0.1507,0.9857,spear-hw
0.6435,0.0254,0.8353,precosat
0.9069,0.0439,0.9971,allfair
0.1229,0.1376,0.615,glucose2
0.1904,0.1838,0.4599,lingeling
0.5855,0.1764,0.6197,lingeling
0.6521,0.1648,0.7828,qutersat
0.0277,0.2231,0.1515,picosat
0.0805,0.1709,0.0043,minisatpsm
0.1594,0.1979,0.1435,picosat
0.5198,0.1596,0.5772,picosat
0.1395,0.1317,0.6214,ebglucose
0.5547,0.1589,0.6233,glueminisat
0.316,0.243,0.0917,allfair
0.2964,0.1826,0.3135,allfair
0.8739,0.0455,0.9181,lrglshr
0.5619,0.1556,0.7311,lingeling
0.1585,0.1926,0.1445,cryptominisat2011
0.5992,0.1766,0.7418,mphaseSAT64
0.8258,0.1653,0.8199,sol
0.5147,0.1437,0.7756,allfair
0.0489,0.0187,0.9426,rcl
0.5664,0.1587,0.6219,allfair
?,?,?,mxc09
0.1823,0.216,0.1793,glucose2
0.1361,0.1285,0.6469,glueminisat
0.9026,0.0442,1,lrglshr
0.0723,0.17,0.0106,mphaseSAT
0.3102,0.2017,0.4213,ebminisat
0.0806,0.171,0.0044,lingeling
0.121,0.1292,0.6287,glucose2
0.1344,0.1295,0.6495,glucose2
0.6253,0.181,0.6652,glueminisat
0.3719,0.0774,0.8199,allfair
0.1194,0.1318,0.616,glucose2
0.4945,0.1222,0.4122,glueminisat
0.2282,0.1578,0.7185,lrglshr
0.0237,0.0096,0.4765,allfair
0.1194,0.1323,0.6142,glucose2
0.1271,0.1299,0.6344,glucose2
0.1576,0.21,0.1435,ebglucose
0.6084,0.1693,0.6386,lingeling
0.5625,0.155,0.7734,lingeling
0.9087,0.0476,0.9918,lrglshr
0.88,0.0633,0.9346,lrglshr
0.7671,0.0747,0.9003,lrglshr
0.3271,0.2048,0.4393,glucose2
0.155,0.1342,0.5987,lrglshr
0.0616,0.1746,0.0145,minisatpsm
0.0827,0.172,0.006,restartsat
0.2291,0.1575,0.7043,glueminisat
0.6108,0.1653,0.7187,lingeling
0.6184,0.2046,0.3987,lingeling
0.7005,0.0239,0.8655,glucose2
0.666,0.2411,0.851,clasp2
0.0825,0.1719,0.006,lingeling
0.4138,0.1742,0.4539,glueminisat
0.1217,0.1293,0.6302,glucose2
0.0159,0.0061,0.9705,allfair
0.217,0.241,0.1759,allfair
0.5033,0.1487,0.6154,restartsat
0.6736,0.1057,0.8803,picosat
0.1653,0.1984,0.1937,qutersat
0.829,0.0179,0.9995,mxc09
0.6036,0.1731,0.6599,restartsat
?,?,?,ebminisat
0.1154,0.0955,0.6206,glucose2
0.4915,0.1278,0.9336,picosat
0.6596,0.2408,0.8522,mphaseSAT64
0.4975,0.1507,0.6145,restartsat
0.2004,0.21,0.181,lrglshr
0.1381,0.1291,0.6561,glucose2
?,?,?,picosat
0.0617,0.1747,0.0145,ebminisat
0.7417,0.0865,0.959,cryptominisat2011
0.3288,0.2308,0.2191,allfair
0.9679,0.0143,1,lrglshr
0.3925,0.0073,0.6918,mxc09
0.3348,0.1373,0.0483,glueminisat
0.6636,0.2406,0.8521,qutersat
0.2034,0.1833,0.166,glueminisat
0.5221,0.16,0.5768,lrglshr
0.5664,0.1587,0.6216,allfair
0.1144,0.1259,0.6319,picosat
0.5301,0.1345,0.6624,rcl
0.5539,0.1553,0.7355,mxc09
0.5587,0.1603,0.6408,allfair
?,?,?,picosat
0.4074,0.0714,0.7815,allfair
0.6423,0.1882,0.7515,allfair
0.6033,0.2097,0.3593,mphaseSAT64
?,?,?,restartsat
0.1291,0.1264,0.6619,ebglucose
0.0615,0.1744,0.0144,minisatpsm
0.1261,0.1321,0.6037,glucose2
0.4499,0.2156,0.125,ebglucose
0.8743,0.036,0.9745,ebminisat
?,?,?,glueminisat
0.1483,0.1822,0.1579,cryptominisat2011
0.1418,0.1291,0.6523,lrglshr
0.3757,0.0927,0.7907,mphaseSAT
0.3842,0.0422,0.6682,allfair
0.555,0.1567,0.7127,lingeling
0.2303,0.1565,0.6453,qutersat
0.1428,0.1301,0.6458,qutersat
0.6331,0.1778,0.6661,lingeling
0.0258,0.0105,0.4711,allfair
0.2268,0.1964,0.2538,glucose2
0.2299,0.156,0.7121,cryptominisat2011
0.8901,0.0968,0.8251,mxc09
0.1224,0.0952,0.6128,ebminisat
0.1265,0.1251,0.6601,minisatpsm
0.0615,0.1745,0.0144,glueminisat
0.5642,0.1571,0.7461,qutersat
0.5336,0.2057,0.8816,ebminisat
0.1646,0.1524,0.4495,ebglucose
0.0925,0.1779,0.0096,mphaseSAT64
0.0148,0.0799,0.0027,allfair
0.5939,0.1704,0.6355,cryptominisat2011
0.3187,0.1995,0.4286,ebminisat
0.3925,0.0073,0.6918,mxc09
0.1379,0.1814,0.1573,allfair
0.9812,0.1508,0.9176,restartsat
0.4538,0.2161,0.134,ebglucose
0.0826,0.172,0.006,minisatpsm
0.3255,0.1339,0.0205,glueminisat
0.9602,0.0581,0.9831,qutersat
0.6147,0.1804,0.7371,minisatpsm
0.7799,0.0171,0.8382,glucose2
0.4026,0.1476,0.5893,glueminisat
0.7426,0.0808,0.8718,glueminisat
0.9287,0.0983,0.7361,lrglshr
0.3049,0.2013,0.2704,cryptominisat2011
0.394,0.0056,0.6919,clasp2
0.217,0.241,0.1759,ebglucose
0.1298,0.1236,0.6814,lrglshr
0.1601,0.1405,0.5865,lrglshr
0.1962,0.1714,0.1741,ebglucose
0.0722,0.1699,0.0107,cryptominisat2011
0.5995,0.1685,0.6291,clasp2
0.6703,0.0247,0.8501,minisatpsm
0.1614,0.1325,0.1699,marchrw
0.0168,0.0064,0.9695,allfair
0.1239,0.1255,0.6558,glucose2
0.5995,0.1685,0.6291,clasp2
0.6423,0.1882,0.7517,allfair
0.0615,0.1746,0.0144,ebglucose
0.6551,0.2404,0.8513,allfair
0.1643,0.1522,0.4046,clasp2
0.6104,0.1717,0.6359,lingeling
0.9091,0.1515,0.8452,sol
0.5765,0.1611,0.6168,clasp2
0.4972,0.0308,0.808,minisatpsm
0.5361,0.2059,0.9116,mphaseSAT64
0.1273,0.1341,0.6128,glucose2
0.4366,0.0795,0.7886,allfair
0.6156,0.1814,0.7477,qutersat
0.2049,0.2118,0.1906,spear-sw
0.1608,0.1475,0.5947,glueminisat
0.1674,0.1786,0.1194,glueminisat
0.0741,0.1442,0.0632,glueminisat
0.1894,0.2173,0.2077,glueminisat
0.0826,0.172,0.0061,precosat
0.9758,0.1548,0.9249,allfair
0.0825,0.1719,0.006,precosat
0.5334,0.2115,0.7275,restartsat
0.0615,0.1746,0.0144,allfair
0.5965,0.1622,0.6566,minisatpsm
0.1364,0.1439,0.5867,glucose2
0.9186,0.0434,0.9978,allfair
0.2047,0.2423,0.1768,marchrw
0.2047,0.2423,0.1768,marchrw
0.1277,0.1399,0.5982,glueminisat
0.1674,0.1786,0.1194,lingeling
0.9029,0.0503,0.987,lrglshr
0.5939,0.1704,0.6354,cryptominisat2011
0.3215,0.2084,0.4123,ebminisat
0.2299,0.156,0.7119,glueminisat
0.3405,0.2233,0.1223,allfair
0.4157,0.1345,0.6064,picosat
?,?,?,clasp2
0.8086,0.1286,0.7975,sol
0.1166,0.1803,0.1567,allfair
0.5695,0.1638,0.6321,glueminisat
0.1993,0.1173,0.6811,glucose2
0.142,0.1309,0.6519,ebglucose
0.2303,0.1565,0.6453,qutersat
0.3931,0.0065,0.6915,mphaseSAT
0.9227,0.0418,0.999,allfair
0.2303,0.1549,0.6913,glueminisat
0.3582,0.1741,0.7426,spear-hw
0.5623,0.1615,0.6282,allfair
0.133,0.134,0.6134,glucose2
0.9691,0.106,0.8149,mphaseSAT64
0.0214,0.0095,0.459,spear-sw
0.1013,0.2282,0,glueminisat
0.9102,0.0156,1,allfair
0.5476,0.1645,0.5717,minisatpsm
0.3975,0.2095,0.5328,glucose2
0.1192,0.1803,0.1567,allfair
0.5913,0.1758,0.7541,allfair
0.2537,0.2151,0.2604,cryptominisat2011
0.1526,0.1961,0.5424,allfair
0.5419,0.1508,0.6071,glueminisat
0.1975,0.1169,0.6814,glucose2
0.5132,0.1716,0.4801,minisatpsm
0.2256,0.1626,0.6702,glueminisat
0.7426,0.0808,0.8718,glueminisat
0.1875,0.115,0.6826,glucose2
0.6512,0.0309,0.8387,glucose2
0.0806,0.171,0.0044,minisatpsm
0.3927,0.007,0.6916,ebglucose
0.2645,0.2139,0.2559,allfair
0.5972,0.1661,0.6321,ebminisat
0.5332,0.2724,0.5075,qutersat
0.0526,0.1714,0.0099,allfair
0.4053,0.2421,0.5539,mxc09
0.5336,0.2057,0.8816,mphaseSATm
0.5778,0.1714,0.7631,allfair
0.0723,0.17,0.0106,mphaseSAT
0.2651,0.1563,0.3013,minisatpsm
0.3034,0.2074,0.3672,mphaseSAT
0.0097,0.013,0.1973,precosat
0.1814,0.1138,0.6832,glucose2
0.6156,0.1814,0.7458,qutersat
0.6547,0.2403,0.8511,mphaseSAT
0.5208,0.1352,0.6648,picosat
0.1906,0.1156,0.6822,rcl
0.2075,0.1541,0.4476,glucose2
0.2829,0.1935,0.3149,ebglucose
0.217,0.2415,0.1767,allfair
0.0724,0.17,0.0107,picosat
0.3105,0.2017,0.4213,ebminisat
0.1961,0.2211,0.2066,picosat
0.1971,0.0896,0.6051,clasp2
0.4402,0.1458,0.9971,glucose2
0.8938,0.1515,0.8305,mphaseSAT64
0.0478,0.1706,0.0099,allfair
0.0144,0.006,0.4268,allfair
0.9896,0.1447,0.9468,glucose2
0.9501,0.0233,0.9992,lrglshr
0.0826,0.172,0.0061,precosat
0.6244,0.1799,0.6747,clasp2
0.9263,0.0121,1,clasp2
0.2269,0.1601,0.7073,glueminisat
0.3606,0.1745,0.7373,picosat
0.6084,0.1693,0.6386,lingeling
0.1395,0.1894,0.2144,lingeling
0.4366,0.0795,0.7886,allfair
0.6241,0.1838,0.7483,allfair
0.2386,0.2023,0.3101,glueminisat
0.1273,0.1752,0.1837,cryptominisat2011
0.0291,0.0112,0.567,restartsat
0.3341,0.2311,0.2153,glueminisat
0.9764,0.1527,0.9254,allfair
0.127,0.1341,0.6132,glucose2
?,?,?,cryptominisat2011
0.2256,0.1626,0.6702,glueminisat
0.631,0.0256,0.8287,minisatpsm
0.1962,0.1714,0.1741,allfair
0.6432,0.1357,0.6621,glucose2
0.6567,0.025,0.8419,minisatpsm
0.4291,0.08,0.7862,minisatpsm
0.6331,0.1781,0.6542,mphaseSATm
0.0826,0.172,0.0061,precosat
0.3933,0.0063,0.6916,qutersat
0.2076,0.1523,0.4774,ebglucose
0.0826,0.172,0.006,mxc09
0.6241,0.1838,0.7483,allfair
0.9717,0.0498,0.9504,cryptominisat2011
0.6094,0.2084,0.3687,allfair
0.6596,0.2408,0.8522,mphaseSAT64
0.4233,0.1619,0.7375,glueminisat
0.9612,0.0567,0.9836,qutersat
0.1619,0.1487,0.3503,qutersat
0.2019,0.1867,0.1648,lingeling
?,?,?,picosat
0.9372,0.0191,0.9999,allfair
0.6428,0.1951,0.5281,lingeling
0.1924,0.1847,0.1733,rcl
0.6527,0.2406,0.8489,allfair
0.0607,0.1743,0.0144,allfair
0.5992,0.1766,0.7418,mphaseSAT64
0.5174,0.1453,0.7758,qutersat
0.5503,0.1535,0.6116,allfair
0.5229,0.1398,0.5467,rcl
0.7671,0.0747,0.9003,lrglshr
0.176,0.1707,0.0736,glueminisat
0.1265,0.1251,0.6601,minisatpsm
0.2844,0.171,0.2351,clasp2
0.2645,0.2139,0.2559,allfair
0.2023,0.242,0.1739,marchrw
0.0088,0.0173,0.0627,lrglshr
0.6104,0.1717,0.6359,lingeling
0.2641,0.1659,0.3477,mxc09
0.072,0.1696,0.0103,precosat
?,?,?,picosat
0.885,0.0572,0.9941,clasp2
0.0612,0.1745,0.0144,allfair
0.5913,0.1758,0.7541,allfair
0.3093,0.2058,0.3257,glucose2
?,?,?,picosat
0.0026,0.1733,0.1527,picosat
0.1277,0.1255,0.6556,ebglucose
0.7343,0.0229,0.885,ebglucose
0.3927,0.007,0.6916,ebglucose
0.1294,0.1436,0.5881,glucose2
0.9585,0.0721,0.9323,ebglucose
0.6001,0.0429,0.9969,lrglshr
0.0364,0.2212,0.0175,lrglshr
0.2014,0.2409,0.1728,mphaseSATm
0.6614,0.2408,0.8535,mphaseSATm
0.1383,0.0535,0.8327,glucose2
0.3853,0.1443,0.7805,picosat
0.3337,0.2058,0.4483,restartsat
0.1667,0.1807,0.2062,glueminisat
0.2358,0.2155,0.1824,mphaseSATm
0.3401,0.2239,0.1208,allfair
0.897,0.0538,0.9793,lrglshr
0.1503,0.1962,0.5463,qutersat
0.218,0.1836,0.1494,allfair
0.3526,0.1437,0.1554,glueminisat
0.1844,0.1144,0.6829,glucose2
0.0623,0.173,0.0099,allfair
0.6211,0.1745,0.6462,clasp2
?,?,?,mphaseSAT64
0.2303,0.1549,0.6913,glueminisat
0.1305,0.1746,0.1137,glueminisat
0.5623,0.1615,0.6278,allfair
0.5376,0.1489,0.6135,clasp1
0.2182,0.2408,0.1765,mphaseSAT64
0.0616,0.1745,0.0144,qutersat
0.5583,0.1556,0.6125,lrglshr
0.028,0.0114,0.5448,restartsat
0.3917,0.0081,0.6928,clasp1
0.5361,0.2059,0.9117,mphaseSAT64
0.5612,0.1547,0.7821,lingeling
0.6348,0.0364,0.9987,clasp2
0.1502,0.1078,0.2868,mphaseSAT64
0.512,0.1447,0.7791,qutersat
0.8604,0.0764,0.9237,ebminisat
0.6068,0.2092,0.3573,ebglucose
0.1471,0.1963,0.5513,ebglucose
0.0687,0.0423,0.152,glucose2
0.07,0.0273,0.8713,spear-hw
0.1418,0.1291,0.6523,lrglshr
0.5879,0.1643,0.6209,lingeling
0.1875,0.184,0.4684,clasp2
0.0207,0.009,0.5447,allfair
0.6633,0.2405,0.853,qutersat
0.0248,0.0105,0.517,allfair
0.4968,0.14,0.7111,mphaseSAT
0.6231,0.2031,0.4129,lingeling
0.0158,0.0228,0.0551,lrglshr
0.122,0.1336,0.647,picosat
0.5705,0.1693,0.7619,qutersat
0.5534,0.1534,0.7231,lingeling
0.0223,0.0097,0.5532,precosat
0.6533,0.2407,0.8497,allfair
0.5503,0.1535,0.6116,allfair
0.3937,0.006,0.6917,precosat
?,?,?,clasp2
0.0718,0.1696,0.0103,cryptominisat2011
0.4621,0.1353,0.9942,picosat
0.6007,0.1568,0.5617,picosat
0.0087,0.0172,0.0596,lrglshr
0.0244,0.0101,0.524,allfair
0.1424,0.1967,0.5525,rcl
0.1315,0.1437,0.5919,glueminisat
0.9029,0.0503,0.987,lrglshr
0.0088,0.0173,0.0627,lrglshr
?,?,?,ebminisat
0.1381,0.1291,0.6561,glucose2
0.2361,0.2155,0.1825,glucose2
0.2069,0.1524,0.4824,lingeling
0.0805,0.1709,0.0043,restartsat
0.1065,0.2381,0.1206,allfair
0.1093,0.0957,0.627,glueminisat
0.6567,0.025,0.8419,minisatpsm
0.1224,0.0952,0.6128,ebminisat
0.2298,0.1555,0.6883,ebglucose
0.1228,0.1804,0.1567,allfair
0.9091,0.1515,0.8452,sol
0.4366,0.0795,0.7886,allfair
0.6153,0.178,0.6568,allfair
0.0805,0.1709,0.0043,restartsat
0.072,0.1696,0.0103,precosat
0.0256,0.0103,0.5453,restartsat
0.014,0.0059,0.4654,allfair
0.5753,0.1612,0.623,clasp2
0.0177,0.0069,0.5932,allfair
0.6557,0.2406,0.8512,allfair
0.1305,0.1808,0.157,allfair
0.1344,0.1295,0.6495,glucose2
0.1304,0.095,0.603,restartsat
0.5987,0.176,0.7406,ebglucose
0.209,0.0823,0.826,minisatpsm
0.0831,0.0969,0.6491,glueminisat
0.1409,0.1906,0.1864,lingeling
0.5385,0.1383,0.6516,glucose2
0.4998,0.1506,0.6196,glucose2
0.2298,0.1552,0.4867,qutersat
0.6204,0.1296,0.626,mphaseSAT64
0.6135,0.1761,0.665,lingeling
0.6349,0.1832,0.6812,lingeling
0.3929,0.0068,0.6916,sol
0.1379,0.1345,0.6115,lrglshr
0.0825,0.1719,0.006,lingeling
0.3117,0.2427,0.0917,glucose2
?,?,?,picosat
0.4138,0.1742,0.4539,glueminisat
0.578,0.1717,0.7628,allfair
0.1681,0.151,0.4008,clasp2
?,?,?,lingeling
0.5174,0.1453,0.7758,qutersat
0.128,0.1291,0.6453,rcl
0.4007,0.2383,0.4935,ebminisat
0.2014,0.2409,0.1728,clasp2
0.433,0.1499,0.9987,glucose2
0.1829,0.1141,0.683,glucose2
0.6231,0.2031,0.4129,lingeling
0.3922,0.0075,0.692,ebglucose
0.4475,0.217,0.1248,glueminisat
0.392,0.0078,0.6923,rcl
0.2254,0.1924,0.242,picosat
0.9264,0.0121,1,ebglucose
0.6535,0.2405,0.85,allfair
?,?,?,ebminisat
0.2002,0.21,0.1809,spear-hw
0.5851,0.0617,0.8903,lrglshr
0.1239,0.1255,0.6558,glucose2
0.6356,0.0364,0.9987,glucose2
0.2732,0.1709,0.5153,lrglshr
0.1958,0.1166,0.6816,glucose2
0.9765,0.1183,0.9973,glueminisat
0.4857,0.1674,0.5736,picosat
0.6199,0.0475,0.9963,lrglshr
0.9874,0.1456,0.9375,qutersat
0.1466,0.139,0.5863,lrglshr
0.4138,0.1742,0.4539,glueminisat
0.1271,0.1299,0.6344,glucose2
0.5233,0.1457,0.8109,ebglucose
0.1229,0.1328,0.6206,glucose2
0.121,0.1292,0.6287,glucose2
0.2359,0.1757,0.3393,cryptominisat2011
0.2828,0.1813,0.305,glueminisat
0.8012,0.0696,0.9111,glueminisat
0.2305,0.1566,0.7088,glueminisat
0.6355,0.0364,0.9987,clasp2
0.0723,0.17,0.0106,mphaseSAT
0.0129,0.0056,0.6213,lingeling
0.4054,0.0251,0.9813,clasp1
0.1682,0.0667,0.8227,clasp2
0.04,0.0834,0.0016,allfair
0.9151,0.0232,0.9986,lrglshr
0.6355,0.0364,0.9987,clasp2
0.5137,0.1654,0.6449,qutersat
0.1318,0.1315,0.6269,glucose2
